ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  15 Credit(s).,MGMT,230,MGMT 230,Principles of Management,3,,,
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  15 Credit(s).,MGMT,340,MGMT 340,Human Resource Management,3,,,
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  15 Credit(s).,MGMT,445,MGMT 445,Training & Development,3, MGMT 340 ,,
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  15 Credit(s).,MRKT,100,MRKT 100,Foundations of Business Concepts,3,,,
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  15 Credit(s).,MRKT,210,MRKT 210,Principles of Marketing,3,,,
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  15 Credit(s).,PSYC,340,PSYC 340,Introduction to Social Psychology,4, PSYC 101 ,,
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Major Common Core,,,Critical Thinking/Theoretical ,Choose  3 Credit(s).,ETHN,400,ETHN 400,Cultural Pluralism,3,,,
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Major Common Core,,,Critical Thinking/Theoretical ,Choose  3 Credit(s).,ETHN,410,ETHN 410,Foundations of Oppression,3, ETHN 100 or ATHN 400 ,,Purple
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Major Common Core,,,Research Methods/Skills ,Choose  3 Credit(s).,ETHN,401,ETHN 401,Applied Cultural Research,3," ANTH 101, ANTH 230 or consent; ETHN 100, ETHN 101 or ETHN 150 or consent ",,Gold
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Major Common Core,,,Research Methods/Skills ,Choose  3 Credit(s).,ETHN,402W,ETHN 402W,Ethnic Research Methods/Skills,3," ETHN 100 or ETHN 101 or ETHN 150, or Consent ",,Gold
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Major Restricted Electives,,," Two courses must be writing intensive ""W' and two courses be at 400 level.",Choose  15 Credit(s).,ETHN,150,ETHN 150,Multi-Cultural/Ethnic Experience,3,,,Gold
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Major Restricted Electives,,," Two courses must be writing intensive ""W' and two courses be at 400 level.",Choose  15 Credit(s).,ETHN,200,ETHN 200,Interracial/Interethnic Dating/Marriage,3,,,
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Major Restricted Electives,,," Two courses must be writing intensive ""W' and two courses be at 400 level.",Choose  15 Credit(s).,ETHN,201W,ETHN 201W,Perspectives on African Americans,3,,,Purple
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Major Restricted Electives,,," Two courses must be writing intensive ""W' and two courses be at 400 level.",Choose  15 Credit(s).,ETHN,203W,ETHN 203W,Perspectives on Asian Americans,3,,,Purple
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Major Restricted Electives,,," Two courses must be writing intensive ""W' and two courses be at 400 level.",Choose  15 Credit(s).,ETHN,204W,ETHN 204W,Perspectives on Latinos/Hispanics,3,,,Purple
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Business/Corporate,Undergraduate,2024-2025,Major Restricted Electives,,," Two courses must be writing intensive ""W' and two courses be at 400 level.",Choose  15 Credit(s).,ETHN,220W,ETHN 220W,Civil Rights in the U.S.,3,,,Purple
