ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Racial/Ethnic Communities in the United States,Undergraduate,2024-2025,Major Common Core,,,Critical Thinking/ Theoretical Course ,Choose  3 Credit(s).,ETHN,400,ETHN 400,Cultural Pluralism,3,,,
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Racial/Ethnic Communities in the United States,Undergraduate,2024-2025,Major Common Core,,,Critical Thinking/ Theoretical Course ,Choose  3 Credit(s).,ETHN,410,ETHN 410,Foundations of Oppression,3, ETHN 100 or ATHN 400 ,,Purple
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Racial/Ethnic Communities in the United States,Undergraduate,2024-2025,Major Common Core,,,Research Methods/Skills Course ,Choose  3 Credit(s).,ETHN,401,ETHN 401,Applied Cultural Research,3," ANTH 101, ANTH 230 or consent; ETHN 100, ETHN 101 or ETHN 150 or consent ",,Gold
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Racial/Ethnic Communities in the United States,Undergraduate,2024-2025,Major Common Core,,,Research Methods/Skills Course ,Choose  3 Credit(s).,ETHN,402W,ETHN 402W,Ethnic Research Methods/Skills,3," ETHN 100 or ETHN 101 or ETHN 150, or Consent ",,Gold
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Racial/Ethnic Communities in the United States,Undergraduate,2024-2025,Major Restricted Electives,,,,,ETHN,150,ETHN 150,Multi-Cultural/Ethnic Experience,3,,,Gold
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Racial/Ethnic Communities in the United States,Undergraduate,2024-2025,Major Restricted Electives,,,,,ETHN,201W,ETHN 201W,Perspectives on African Americans,3,,,Purple
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Racial/Ethnic Communities in the United States,Undergraduate,2024-2025,Major Restricted Electives,,,,,ETHN,203W,ETHN 203W,Perspectives on Asian Americans,3,,,Purple
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Racial/Ethnic Communities in the United States,Undergraduate,2024-2025,Major Restricted Electives,,,,,ETHN,204W,ETHN 204W,Perspectives on Latinos/Hispanics,3,,,Purple
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Racial/Ethnic Communities in the United States,Undergraduate,2024-2025,Major Restricted Electives,,,,,ETHN,220W,ETHN 220W,Civil Rights in the U.S.,3,,,Purple
Ethnic Studies,BS,Ethnic Studies - BS,73,120,Racial/Ethnic Communities in the United States,Undergraduate,2024-2025,Major Restricted Electives,,,,,ETHN,295,ETHN 295,Selected Topics,1-4,,,
