ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Ethnic and Multi-Cultural Studies,MS,Ethnic and Multi-Cultural Studies - MS,4088,33,Graduate,2024-2025,Restricted Electives,,,Core Courses 12 credits must at the 600 level.,Choose  15 Credit(s).,ANTH,603,Practicing Anthropology,3,,,,
Ethnic and Multi-Cultural Studies,MS,Ethnic and Multi-Cultural Studies - MS,4088,33,Graduate,2024-2025,Restricted Electives,,,Core Courses 12 credits must at the 600 level.,Choose  15 Credit(s).,CSP,648,Counseling in a Multicultural Society,3,,,,
Ethnic and Multi-Cultural Studies,MS,Ethnic and Multi-Cultural Studies - MS,4088,33,Graduate,2024-2025,Restricted Electives,,,Core Courses 12 credits must at the 600 level.,Choose  15 Credit(s).,ETHN,500,Cultural Pluralism,3,,,,
Ethnic and Multi-Cultural Studies,MS,Ethnic and Multi-Cultural Studies - MS,4088,33,Graduate,2024-2025,Restricted Electives,,,Core Courses 12 credits must at the 600 level.,Choose  15 Credit(s).,ETHN,510,Foundations of Oppression,3,,,,
Ethnic and Multi-Cultural Studies,MS,Ethnic and Multi-Cultural Studies - MS,4088,33,Graduate,2024-2025,Restricted Electives,,,Core Courses 12 credits must at the 600 level.,Choose  15 Credit(s).,ETHN,582,African American Civil Rights Movement,3,,,,
Ethnic and Multi-Cultural Studies,MS,Ethnic and Multi-Cultural Studies - MS,4088,33,Graduate,2024-2025,Restricted Electives,,,Core Courses 12 credits must at the 600 level.,Choose  15 Credit(s).,ETHN,650,Helping Across Cultures,3,,,,
Ethnic and Multi-Cultural Studies,MS,Ethnic and Multi-Cultural Studies - MS,4088,33,Graduate,2024-2025,Restricted Electives,,,Core Courses 12 credits must at the 600 level.,Choose  15 Credit(s).,ETHN,660,Cross-Cultural Training and Diversity Management,3,,,,
Ethnic and Multi-Cultural Studies,MS,Ethnic and Multi-Cultural Studies - MS,4088,33,Graduate,2024-2025,Restricted Electives,,,Core Courses 12 credits must at the 600 level.,Choose  15 Credit(s).,ETHN,695,Ethnic-Race Implications,3,,,,
Ethnic and Multi-Cultural Studies,MS,Ethnic and Multi-Cultural Studies - MS,4088,33,Graduate,2024-2025,Restricted Electives,,,Core Courses 12 credits must at the 600 level.,Choose  15 Credit(s).,ETHN,697,Internship,1-10,,,,
Ethnic and Multi-Cultural Studies,MS,Ethnic and Multi-Cultural Studies - MS,4088,33,Graduate,2024-2025,Restricted Electives,,,Counseling ,Choose3 - 4 Credit(s).,CSP,571,Interpersonal Helping Skills,3,,,,
Ethnic and Multi-Cultural Studies,MS,Ethnic and Multi-Cultural Studies - MS,4088,33,Graduate,2024-2025,Restricted Electives,,,Counseling ,Choose3 - 4 Credit(s).,CSP,618,Introduction to Mental Health Counseling,3,,,,
Ethnic and Multi-Cultural Studies,MS,Ethnic and Multi-Cultural Studies - MS,4088,33,Graduate,2024-2025,Restricted Electives,,,Counseling ,Choose3 - 4 Credit(s).,CSP,665,Counseling Theories,3,,,,
Ethnic and Multi-Cultural Studies,MS,Ethnic and Multi-Cultural Studies - MS,4088,33,Graduate,2024-2025,Restricted Electives,,,Counseling ,Choose3 - 4 Credit(s).,PSYC,683,Behavioral Assessment and Case Formulation,4,,,,
Ethnic and Multi-Cultural Studies,MS,Ethnic and Multi-Cultural Studies - MS,4088,33,Graduate,2024-2025,Restricted Electives,,,Counseling ,Choose3 - 4 Credit(s).,REHB,640,Theory in Rehabilitation,3,,,,
Ethnic and Multi-Cultural Studies,MS,Ethnic and Multi-Cultural Studies - MS,4088,33,Graduate,2024-2025,Restricted Electives,,,Counseling ,Choose3 - 4 Credit(s).,REHB,651,Rehabilitation Counseling Techniques,3,,,,
