ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Exercise Science,BS,Exercise Science - BS,2,120,General Exercise Science,Undergraduate,2024-2025,Emphasis Common Core,,,,,HP,290,HP 290,Psycho-Social Aspects of Sport,3, SOC 101 ,,
Exercise Science,BS,Exercise Science - BS,2,120,General Exercise Science,Undergraduate,2024-2025,Emphasis Common Core,,,,,HP,291,HP 291,Concepts of Fitness,2,,,
Exercise Science,BS,Exercise Science - BS,2,120,General Exercise Science,Undergraduate,2024-2025,Emphasis Common Core,,,,,HP,392,HP 392,Group Exercise Instruction,2,,,
Exercise Science,BS,Exercise Science - BS,2,120,General Exercise Science,Undergraduate,2024-2025,Emphasis Common Core,,,,,HP,487,HP 487,Applied Exercise Science,4, HP 414, HP 496,
Exercise Science,BS,Exercise Science - BS,2,120,General Exercise Science,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,220,BIOL 220,Human Anatomy,4,,,
Exercise Science,BS,Exercise Science - BS,2,120,General Exercise Science,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,330,BIOL 330,Principles of Human Physiology,4," BIOL 220, CHEM 104 or CHEM 106 or CHEM 111 or CHEM 201",,
Exercise Science,BS,Exercise Science - BS,2,120,General Exercise Science,Undergraduate,2024-2025,Major Common Core,,,,,HP,260,HP 260,Introduction to Exercise Science & Practitioner-based Professions,3,,,
Exercise Science,BS,Exercise Science - BS,2,120,General Exercise Science,Undergraduate,2024-2025,Major Common Core,,,,,HP,314,HP 314,Physiology of Exercise,3,BIOL 330,,
Exercise Science,BS,Exercise Science - BS,2,120,General Exercise Science,Undergraduate,2024-2025,Major Common Core,,,,,HP,315W,HP 315W,Research Methods and Statistics in Exercise Science,3,,,
Exercise Science,BS,Exercise Science - BS,2,120,General Exercise Science,Undergraduate,2024-2025,Major Common Core,,,,,HP,363,HP 363,Science of Strength Training and Kinesiology,3,BIOL 220,,
Exercise Science,BS,Exercise Science - BS,2,120,General Exercise Science,Undergraduate,2024-2025,Major Common Core,,,,,HP,431,HP 431,Biomechanics,3,HP 363,,
Exercise Science,BS,Exercise Science - BS,2,120,General Exercise Science,Undergraduate,2024-2025,Major Common Core,,,,,HP,439,HP 439,Nutrition for Physical Activity and Sport,3,HP 314,,
