ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Required General Education,,,,,FCS,100,Personal & Family Living,3,,,Purple,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Required General Education,,,,,FCS,140,Introduction to Nutrition,3,,,,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Required General Education,,,,,HLTH,240,Drug Education,3,,,,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,101,Introduction to Family Consumer Science,3,,,,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,120,Clothing and People,3,,,Purple,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,150,Cooking and Culture,3,,,,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,270,Family Housing,3,,,,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,275,Consumers in the Economy,3,,,Purple,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,284,Career and Technical Education,3,,,,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,301,Lifespan Development,3,,,,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,331,Clothing Construction and Textiles,3,,,,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,340,Food Science,4,FCS 150,,,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,400,Culturally Diverse Family Systems,3,,,Purple,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,414W,Family Policy and Ethics,3,,,Purple,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,478,Family Finance,3,,,,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,484,Program Development in Family Consumer Science,3,,,,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,488,Parenting Education,3,,,,
Family Consumer Science Education,BS,Family Consumer Science Education - BS,4998,120,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,311,Family Life & Sex Education,3,,,,
