ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Common Core,,,,,COMM,260,COMM 260,Principles of Visual Mass Media,4,,,Purple
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Common Core,,,,,COMM,419,COMM 419,"Gender, Race, and Media",4,,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Common Core,,,,,COMM,420,COMM 420,Mass Media History,4,,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Common Core,,,,,FILM,210W,FILM 210W,Film Genres,4,,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Common Core,,,,,FILM,416,FILM 416,Film Theory and Criticism,4,FILM 402 or FILM 412,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Common Core,,,"Capstone Project * The Capstone Project is an internship in film production or mass communication, or an individual study involving a creative portfolio (for example: short film, screenplay, multimedia web design, experiential storytelling project) or a w",Choose  2 Credit(s).,COMM,417,COMM 417,Experiential Storytelling,4,,,Gold
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Common Core,,,"Capstone Project * The Capstone Project is an internship in film production or mass communication, or an individual study involving a creative portfolio (for example: short film, screenplay, multimedia web design, experiential storytelling project) or a w",Choose  2 Credit(s).,COMM,498,COMM 498,Internship,"1, 5, 6, 7, 8, 9, 10, 11, 12            ",,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Common Core,,,"Capstone Project * The Capstone Project is an internship in film production or mass communication, or an individual study involving a creative portfolio (for example: short film, screenplay, multimedia web design, experiential storytelling project) or a w",Choose  2 Credit(s).,COMM,499,COMM 499,Individual Study,1-2,,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Common Core,,,"Capstone Project * The Capstone Project is an internship in film production or mass communication, or an individual study involving a creative portfolio (for example: short film, screenplay, multimedia web design, experiential storytelling project) or a w",Choose  2 Credit(s).,FILM,498,FILM 498,Internship,1-6, Consent of instructor,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Common Core,,,"Capstone Project * The Capstone Project is an internship in film production or mass communication, or an individual study involving a creative portfolio (for example: short film, screenplay, multimedia web design, experiential storytelling project) or a w",Choose  2 Credit(s).,FILM,499,FILM 499,Individual Study,1-4, Consent of instructor,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Common Core,,,Film History Requirement Choose one. The course not taken as core can be taken as a FILM elective.,Choose  4 Credit(s).,FILM,402,FILM 402,Film History I (1895-1960),4,,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Common Core,,,Film History Requirement Choose one. The course not taken as core can be taken as a FILM elective.,Choose  4 Credit(s).,FILM,412,FILM 412,Film History II (1961-Present),4,,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Film Studies  ,Choose  12 Credit(s).,CW,446,CW 446,Screenwriting Workshop,4,,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Film Studies  ,Choose  12 Credit(s).,FILM,214,FILM 214,Topics in Film Studies,1-4                                     ,,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Film Studies  ,Choose  12 Credit(s).,FILM,216W,FILM 216W,Writing About Film,4,,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Film Studies  ,Choose  12 Credit(s).,FILM,217,FILM 217,Introduction to Film Production,4,,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Film Studies  ,Choose  12 Credit(s).,FILM,275,FILM 275,Independent Cinema,4,,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Film Studies  ,Choose  12 Credit(s).,FILM,317,FILM 317,Advanced Film Production,4, FILM 217 or permission of instructor,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Film Studies  ,Choose  12 Credit(s).,FILM,334W,FILM 334W,International Cinema,4,,,Purple
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Film Studies  ,Choose  12 Credit(s).,FILM,342,FILM 342,Film Performance Analysis,4,,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Film Studies  ,Choose  12 Credit(s).,FILM,402,FILM 402,Film History I (1895-1960),4,,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Film Studies  ,Choose  12 Credit(s).,FILM,412,FILM 412,Film History II (1961-Present),4,,,
Film and Media Studies,BA,Film and Media Studies - BA,200620152,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Film Studies  ,Choose  12 Credit(s).,FILM,472,FILM 472,Film Authorship,4,,,
