ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Required General Education,,,,,ECON,201,Principles of Macroeconomics,3,,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,130,Finite Mathematics and Introductory Calculus,4,"Satisfy Placement Table in this section, or grade of “C” (2.0) or better in either MATH 112 or MATH 115.",,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,120W,Introduction to Ethics,3,,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,205W,"Culture, Identity, and Diversity",3,,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,222W,Medical Ethics,3,,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,224W,Business Ethics,3,,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,226W,Environmental Ethics,3,,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,240W,"Law, Justice & Society",3,,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,ACCT,200,Financial Accounting,3,MATH 112 or MATH 115	or MATH 121 or MATH 130 or MATH 181,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,BUS,295,Professional Preparation for Business Careers,2,,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,CIS,101,Introduction to Information Systems,3,,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors ,Choose  34 Credit(s).,ACCT,210,Managerial Accounting,3,ACCT 200,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors ,Choose  34 Credit(s).,BLAW,200,Legal Environment of Business,3,,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors ,Choose  34 Credit(s).,ECON,202,Principles of Microeconomics,3,,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors ,Choose  34 Credit(s).,ECON,207,Business Statistics,4,MATH 112 or equivalent,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors ,Choose  34 Credit(s).,FINA,362,Business Finance,3,ACCT 200,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors ,Choose  34 Credit(s).,IBUS,380,Principles of International Business,3,,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors ,Choose  34 Credit(s).,MGMT,230,Principles of Management,3,,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors ,Choose  34 Credit(s).,MGMT,300,Introduction to MIS,3,ISYS 101 or CIS 101,,,
Finance,BS,Finance - BS,500,120,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors ,Choose  34 Credit(s).,MGMT,346,Operations Management for the Supply Chain,3,ECON 207 ,,,
