ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Finance,BS,Finance - BS,500,120,Financial Planning and Insurance,Undergraduate,2024-2025,Emphasis Common Core,,,,,ACCT,330,ACCT 330,Individual Income Tax,3," ACCT 200, ACCT 210",,
Finance,BS,Finance - BS,500,120,Financial Planning and Insurance,Undergraduate,2024-2025,Emphasis Common Core,,,,,FINA,458,FINA 458,Estate Planning,3, FINA 100 or FINA 362 ,,
Finance,BS,Finance - BS,500,120,Financial Planning and Insurance,Undergraduate,2024-2025,Emphasis Common Core,,,,,FINA,459,FINA 459,Personal Financial Planning,3,"ACT 330, FINA 458, FINA 460, FINA 470. Select FINA 100 or FINA 362.",,
Finance,BS,Finance - BS,500,120,Financial Planning and Insurance,Undergraduate,2024-2025,Emphasis Common Core,,,,,FINA,466,FINA 466,Retirement Planning,3,FINA 100 or FINA 362,,
Finance,BS,Finance - BS,500,120,Financial Planning and Insurance,Undergraduate,2024-2025,Emphasis Common Core,,,,,FINA,470,FINA 470,Personal Insurance,3,,,
Finance,BS,Finance - BS,500,120,Financial Planning and Insurance,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors ,Choose  34 Credit(s).,ACCT,210,ACCT 210,Managerial Accounting,3, ACCT 200,,
Finance,BS,Finance - BS,500,120,Financial Planning and Insurance,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors ,Choose  34 Credit(s).,BLAW,200,BLAW 200,Legal Environment of Business,3,,,
Finance,BS,Finance - BS,500,120,Financial Planning and Insurance,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors ,Choose  34 Credit(s).,ECON,202,ECON 202,Principles of Microeconomics,3,,,
Finance,BS,Finance - BS,500,120,Financial Planning and Insurance,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors ,Choose  34 Credit(s).,ECON,207,ECON 207,Business Statistics,4,MATH 112 or equivalent,,
Finance,BS,Finance - BS,500,120,Financial Planning and Insurance,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors ,Choose  34 Credit(s).,FINA,362,FINA 362,Business Finance,3,ACCT 200,,
Finance,BS,Finance - BS,500,120,Financial Planning and Insurance,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors ,Choose  34 Credit(s).,IBUS,380,IBUS 380,Principles of International Business,3,,,
