ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,106,BIOL 106,General Biology II,4,,,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,270,BIOL 270,Microbiology,4," One BIOL course and one semester of chemistry from among CHEM 104, CHEM 106, CHEM 111, or CHEM 201 ",,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,330,BIOL 330,Principles of Human Physiology,4," BIOL 220, CHEM 104 or CHEM 106 or CHEM 111 or CHEM 201",,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,453,BIOL 453,Biological Engineering Analysis I,4," BIOL 270 and one semester each of calculus, physics, and organic chemistry, taken concurrently with BIOL 456. ",,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,478,BIOL 478,Food Microbiology and Sanitation,4," BIOL 105, BIOL 106 and BIOL 270 ",,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,201,CHEM 201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,202,CHEM 202,General Chemistry II,5, “C” (2.0) or higher in CHEM 201 ,,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,305,CHEM 305,Analytical Chemistry,4, “C” (2.0) or higher in CHEM 202 ,,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,322,CHEM 322,Organic Chemistry I,4," CHEM 202, “C” (2.0) or higher in CHEM 202.",,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,360,CHEM 360,Principles of Biochemistry,4,CHEM 322. CHEM 324 is strongly recommended.,,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,271W,ENG 271W,Technical Communication,4, ENG 101 ,,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Common Core,,,,,FCS,150,FCS 150,Cooking and Culture,3,,,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Common Core,,,,,FCS,242,FCS 242,Nutrition for Healthcare Professionals,3,Select One Course: CHEM 106 or CHEM 111,,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Common Core,,,,,FCS,340,FCS 340,Food Science,4, FCS 150,,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  3 Credit(s).,BIOL,452,BIOL 452,Biological Instrumentation,3," BIOL 105, BIOL 106, or consent ",,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Practicum ,Choose2 - 4 Credit(s).,BIOL,497,BIOL 497,Internship I,1-12, Consent ,,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Practicum ,Choose2 - 4 Credit(s).,BIOL,499,BIOL 499,Individual Study,1-4,,,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,BIOL,220,BIOL 220,Human Anatomy,4,,,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Required General Education,,,,,BIOL,105,BIOL 105,General Biology I,4,,,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Required General Education,,,,,STAT,154,STAT 154,Elementary Statistics,4," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Required General Education,,,Math Math 121 Calculus is strongly suggested if graduate study is intended.,Choose  4 Credit(s).,MATH,112,MATH 112,College Algebra,4," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Required General Education,,,Math Math 121 Calculus is strongly suggested if graduate study is intended.,Choose  4 Credit(s).,MATH,115,MATH 115,Precalculus Mathematics,4,"Satisfy Math Placement Table in this section, or grade of P in MATH 098.",,
Food Science Technology,BS,Food Science Technology - BS,1509,120,,Undergraduate,2024-2025,Required General Education,,,Math Math 121 Calculus is strongly suggested if graduate study is intended.,Choose  4 Credit(s).,MATH,121,MATH 121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,
