ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Capstone Course,,,,,COMM,650,COMM 650,Capstone Prospectus,0.00                                    ,611 or 612,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Capstone Course,,,,,COMM,651,COMM 651,Comprehensive Exams,0.00                                    ,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Capstone Course,,,,,COMM,699,COMM 699,Thesis,1-6                                     ,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Common Core,,,,,COMM,509,COMM 509,Performance Studies,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Common Core,,,,,COMM,535,COMM 535,Forensics Pedagogy,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Common Core,,,,,COMM,560,COMM 560,"Dialogue, Discussion, and Debate",3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Common Core,,,,,COMM,600,COMM 600,Seminar in Communication Theory,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Common Core,,,,,COMM,602,COMM 602,Communication Pedagogy,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Common Core,,,,,COMM,603,COMM 603,Teaching Strategies,0.00                                    ,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Common Core,,,,,COMM,630,COMM 630,Forensics Practicum,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Research/Methods Course(s),,,,,COMM,611,COMM 611,Qualitative Research Methods,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Restricted Electives,,,Intercultural/Interpersonal ,Choose  3 Credit(s).,COMM,613,COMM 613,Advanced Intercultural Communication,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Restricted Electives,,,Intercultural/Interpersonal ,Choose  3 Credit(s).,COMM,621,COMM 621,Advanced Interpersonal Communication,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Restricted Electives,,,Organization/Administrative ,Choose  3 Credit(s).,COMM,512,COMM 512,Organizational Communication,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Restricted Electives,,,Organization/Administrative ,Choose  3 Credit(s).,COMM,545,COMM 545,Conflict Management,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Restricted Electives,,,Organization/Administrative ,Choose  3 Credit(s).,COMM,634,COMM 634,Public Relations Management,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Restricted Electives,,,Organization/Administrative ,Choose  3 Credit(s).,COMM,673,COMM 673,Social Media Theory and Criticism,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Restricted Electives,,,Rhetoric ,Choose  3 Credit(s).,COMM,515,COMM 515,Topics in Rhetoric and Culture,1-3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Restricted Electives,,,Rhetoric ,Choose  3 Credit(s).,COMM,530,COMM 530,Social Movements and Advocacy,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Restricted Electives,,,Rhetoric ,Choose  3 Credit(s).,COMM,620,COMM 620,Modern Rhetorical Criticism,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Unrestricted Electives,,,Communication ,Choose6 - 9 Credit(s).,COMM,505,COMM 505,Strategic Advocacy Campaigns,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Unrestricted Electives,,,Communication ,Choose6 - 9 Credit(s).,COMM,510,COMM 510,Topics in Relational Communication,,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Unrestricted Electives,,,Communication ,Choose6 - 9 Credit(s).,COMM,516,COMM 516,Topics in American Public Address,,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Unrestricted Electives,,,Communication ,Choose6 - 9 Credit(s).,COMM,517,COMM 517,Experiential Storytelling,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Unrestricted Electives,,,Communication ,Choose6 - 9 Credit(s).,COMM,518,COMM 518,"Gender, Race, and Identity",3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Unrestricted Electives,,,Communication ,Choose6 - 9 Credit(s).,COMM,519,COMM 519,"Gender, Race, and Media",3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Unrestricted Electives,,,Communication ,Choose6 - 9 Credit(s).,COMM,520,COMM 520,Mass Media History,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Unrestricted Electives,,,Communication ,Choose6 - 9 Credit(s).,COMM,521,COMM 521,Communication Studies Teaching and Coaching Methods,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Unrestricted Electives,,,Communication ,Choose6 - 9 Credit(s).,COMM,525,COMM 525,Crisis Communication,3,,,
Forensics and Communication,MFA,Forensics and Communication - MFA,4066,48,,Graduate,2024-2025,Unrestricted Electives,,,Communication ,Choose6 - 9 Credit(s).,COMM,529,COMM 529,Aesthetics and Culture in Music Industry,3,,,
