ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Common Core,,,,,GWS,110,Introduction to Gender,4,,,Purple,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Common Core,,,,,GWS,220,Sex and Gender Worldwide,4,,,Purple,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Common Core,,,,,GWS,310,Feminist Thought,4,,,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Common Core,,,,,GWS,330,Feminist Activism and Social Justice,4,,,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Common Core,,,,,GWS,340,Undergraduate Seminar,4,GWS 110 or GWS 220 or consent ,,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Restricted Electives,,,Required Internship ,Choose  4 Credit(s).,GWS,497,Internship: Teaching,1-6                                     ,GWS 110 or GWS 220 and consent. ,,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Restricted Electives,,,Required Internship ,Choose  4 Credit(s).,GWS,498,Internship: Community,1-6,,,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,AIS,240W,American Indian Women,3,,,Purple,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,ANTH,432,"Kinship, Marriage and Family",3,,,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,ANTH,433,Anthropology of Gender,4,"ANTH 101, ANTH 230, or consent ",,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,ART,419,Gender in Art,3,ART 261 or consent ,,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,BIOL,102,Biology of Women,3,,,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,CJ,324,Women in the Criminal Justice System,3,,,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,ENG,402W,Gender in Literature,4,,,Purple,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,ETHN,470,Women of Color,3,"ETHN 400, or consent ",,Purple,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,HIST,155,History of the Family in America,3,,,Purple,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,HIST,408,Women and Gender in European History,4,,,Purple,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,HIST,487,United States Women's History,4,,,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,HLTH,400,Women's Health,3,,,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,POL,424,Women & Politics,4,,,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,PSYC,460W,Psychology of Women,3,PSYC 101 ,,Purple,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,SOC,209,Sociology of Human Sexualities,4,,,Purple,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,SOC,307,Sex & Gender in Contemporary Society,4,,,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,SOC,409,Family Violence,4,,,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,SOWK,427,Social Work Response to Intimate Partner Violence,3,,,,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,GWS,110W,Introduction to Gender,4,,,Purple,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,GWS,120,Violence and Gender,4,,,Purple,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,GWS,120W,Violence and Gender,4,,,Purple,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,GWS,220W,Sex and Gender Worldwide,4,,,Purple,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,GWS,222,"Gender, Law, & Justice",4,,,Purple,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,GWS,225,Queer America,4,,,Gold,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,GWS,225W,Queer America,4,,,Gold,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,GWS,230,"Gender, Race, and Popular Culture",4,,,Purple,
Gender and Women's Studies,BS,Gender and Women's Studies - BS,179,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,GWS,250,"Health, Wealth, and Power",4,,,Purple,
