ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,,Graduate,2024-2025,Common Core,,, ,Choose  6 Credit(s).,GWS,540,GWS 540,Cultivating Inclusive Classrooms,3,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,,Graduate,2024-2025,Common Core,,, ,Choose  6 Credit(s).,GWS,555,GWS 555,Sexuality & Queer Identities,3,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,,Graduate,2024-2025,Common Core,,, ,Choose  6 Credit(s).,GWS,600,GWS 600,Collective Action,3,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,,Graduate,2024-2025,Common Core,,, ,Choose  6 Credit(s).,GWS,610,GWS 610,Graduate Seminar,3,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,,Graduate,2024-2025,Common Core,,, ,Choose  6 Credit(s).,GWS,620,GWS 620,Feminist Research,3,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,,Graduate,2024-2025,Common Core,,, ,Choose  6 Credit(s).,GWS,630,GWS 630,Transnational Feminism,3,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,,Graduate,2024-2025,Common Core,,, ,Choose  6 Credit(s).,GWS,640,GWS 640,Feminist Theories,3,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,GWS,511,GWS 511,Sexual Assault Victim Advocacy,3,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,GWS,560,GWS 560,Selected Topics,1-4,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,GWS,600,GWS 600,Collective Action,3,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,GWS,610,GWS 610,Graduate Seminar,3,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,GWS,620,GWS 620,Feminist Research,3,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,GWS,630,GWS 630,Transnational Feminism,3,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,GWS,640,GWS 640,Feminist Theories,3,,,
