ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Gender and Women's Studies,MS,Gender and Women's Studies - MS,68,30,,Graduate,2024-2025,Capstone Course,,,,,GWS,694,GWS 694,Alternate Plan Paper,1-2,,,
Gender and Women's Studies,MS,Gender and Women's Studies - MS,68,30,,Graduate,2024-2025,Capstone Course,,,,,GWS,699,GWS 699,Thesis,3-6,,,
Gender and Women's Studies,MS,Gender and Women's Studies - MS,68,30,,Graduate,2024-2025,Common Core,,,,,GWS,540,GWS 540,Cultivating Inclusive Classrooms,3,,,
Gender and Women's Studies,MS,Gender and Women's Studies - MS,68,30,,Graduate,2024-2025,Common Core,,,,,GWS,600,GWS 600,Collective Action,3,,,
Gender and Women's Studies,MS,Gender and Women's Studies - MS,68,30,,Graduate,2024-2025,Common Core,,,,,GWS,610,GWS 610,Graduate Seminar,3,,,
Gender and Women's Studies,MS,Gender and Women's Studies - MS,68,30,,Graduate,2024-2025,Common Core,,,,,GWS,630,GWS 630,Transnational Feminism,3,,,
Gender and Women's Studies,MS,Gender and Women's Studies - MS,68,30,,Graduate,2024-2025,Common Core,,,,,GWS,640,GWS 640,Feminist Theories,3,,,
Gender and Women's Studies,MS,Gender and Women's Studies - MS,68,30,,Graduate,2024-2025,Research/Methods Course(s),,,,,GWS,620,GWS 620,Feminist Research,3,,,
Gender and Women's Studies,MS,Gender and Women's Studies - MS,68,30,,Graduate,2024-2025,Restricted Electives,,,Internship ,Choose3 - 6 Credit(s).,GWS,697,GWS 697,Teaching Internship,1-6,,,
Gender and Women's Studies,MS,Gender and Women's Studies - MS,68,30,,Graduate,2024-2025,Restricted Electives,,,Internship ,Choose3 - 6 Credit(s).,GWS,698,GWS 698,Community Internship,1-6,,,
