ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Geoarcheology,CERT,Geoarcheology - CERT,200501152,17,,Undergraduate,2024-2025,Major Common Core,,,,,ANTH,210,ANTH 210,Introduction to Archaeology,4,,,
Geoarcheology,CERT,Geoarcheology - CERT,200501152,17,,Undergraduate,2024-2025,Major Restricted Electives,,, Earth Science Foundation ,Choose  4 Credit(s).,GEOG,101,GEOG 101,Introductory Physical Geography,4,,,
Geoarcheology,CERT,Geoarcheology - CERT,200501152,17,,Undergraduate,2024-2025,Major Restricted Electives,,, Earth Science Foundation ,Choose  4 Credit(s).,GEOL,122,GEOL 122,Earth History,4,,,
Geoarcheology,CERT,Geoarcheology - CERT,200501152,17,,Undergraduate,2024-2025,Major Restricted Electives,,,Archeology Electives ,Choose  3 Credit(s).,ANTH,410,ANTH 410,Archaeology of Minnesota,4,,,
Geoarcheology,CERT,Geoarcheology - CERT,200501152,17,,Undergraduate,2024-2025,Major Restricted Electives,,,Archeology Electives ,Choose  3 Credit(s).,ANTH,411,ANTH 411,Archaeology of Native North America,4,,,
Geoarcheology,CERT,Geoarcheology - CERT,200501152,17,,Undergraduate,2024-2025,Major Restricted Electives,,,Archeology Electives ,Choose  3 Credit(s).,ANTH,412,ANTH 412,Archaeology of Latin America,4,,,
Geoarcheology,CERT,Geoarcheology - CERT,200501152,17,,Undergraduate,2024-2025,Major Restricted Electives,,,Archeology Electives ,Choose  3 Credit(s).,ANTH,416,ANTH 416,Archeological Methods,4,,,
Geoarcheology,CERT,Geoarcheology - CERT,200501152,17,,Undergraduate,2024-2025,Major Restricted Electives,,,Earth Science Electives ,Choose6 - 8 Credit(s).,GEOG,315,GEOG 315,Geomorphology,4,,,
Geoarcheology,CERT,Geoarcheology - CERT,200501152,17,,Undergraduate,2024-2025,Major Restricted Electives,,,Earth Science Electives ,Choose6 - 8 Credit(s).,GEOG,411,GEOG 411,Soils Geomorphology,4,,,
Geoarcheology,CERT,Geoarcheology - CERT,200501152,17,,Undergraduate,2024-2025,Major Restricted Electives,,,Earth Science Electives ,Choose6 - 8 Credit(s).,GEOG,415,GEOG 415,Earth Surface Processes,4,,,
Geoarcheology,CERT,Geoarcheology - CERT,200501152,17,,Undergraduate,2024-2025,Major Restricted Electives,,,Earth Science Electives ,Choose6 - 8 Credit(s).,GEOG,416W,GEOG 416W,Fluvial Geomorphology and Hydrology,4,Either Geog 101 or Geol 121 and Geog 315 or 415 are recommended. Or instructor consent.,,
Geoarcheology,CERT,Geoarcheology - CERT,200501152,17,,Undergraduate,2024-2025,Major Restricted Electives,,,Earth Science Electives ,Choose6 - 8 Credit(s).,GEOL,201,GEOL 201,Elements of Mineralogy,4,GEOL 100 or GEOL 107 or GEOL 121,,
Geoarcheology,CERT,Geoarcheology - CERT,200501152,17,,Undergraduate,2024-2025,Major Restricted Electives,,,Earth Science Electives ,Choose6 - 8 Credit(s).,GEOL,320W,GEOL 320W,Sedimentology and Stratigraphy,4,"Select one course: GEOL 100, GEOL 107, GEOL 121",,
