ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Capstone Course,,,,,GEOG,679,GEOG 679,GIS Practicum,3,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Capstone Course,,,,,GEOG,694,GEOG 694,Alternate Plan Paper,1-2,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Capstone Course,,,,,GEOG,699,GEOG 699,Thesis,1-6,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Common Core,,,,,GEOG,671,GEOG 671,Geodatabase,3,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Common Core,,,,,GEOG,672,GEOG 672,Geospatial Modeling & Simulation,3,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Common Core,,,,,GEOG,673,GEOG 673,Advanced GIS,3,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Common Core,,,,,GEOG,674,GEOG 674,Advanced Remote Sensing,3,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Research/Methods Course(s),,,,,GEOG,670,GEOG 670,Seminar in GIS,3,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,539,GEOG 539,Transportation Modeling & GIS,4,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,571,GEOG 571,Digital Field Mapping with GPS,4,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,573,GEOG 573,Intermediate GIS,4,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,574,GEOG 574,Introduction to Remote Sensing,4,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,575,GEOG 575,Open-Source GIS,4,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,576,GEOG 576,Spatial Statistics,3,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,578,GEOG 578,Spatial Analysis with GIS,3,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,579,GEOG 579,GIS Practicum,1-4,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,581,GEOG 581,GIS and Environmental Hazards,3,GEOG 373 and GEOG 673,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,582,GEOG 582,GIS for Natural Resources,4,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,583,GEOG 583,Cloud Mapping & Visualization,4,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,584,GEOG 584,Web GIS,4,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,585,GEOG 585,GIS Programming,4,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,610,GEOG 610,Issues in Physical Geography,1-4,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,620,GEOG 620,Issues in Cultural Geography,1-4,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,650,GEOG 650,Issues in Regional Geography,1-4,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,677,GEOG 677,Individual Study,1-4,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,678,GEOG 678,Geographic Research & Writing,3,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,680,GEOG 680,Philosophy of Geography,3,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,681,GEOG 681,Environmental Issues,3,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,698,GEOG 698,Internship,1-6,,,
