ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Geography,BS,Geography - BS,200212014,120,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,101,Introductory Physical Geography,4,,,,
Geography,BS,Geography - BS,200212014,120,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,103,Introductory Cultural Geography,3,,,Purple,
Geography,BS,Geography - BS,200212014,120,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,401,Colloquium,1,,,,
Geography,BS,Geography - BS,200212014,120,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone Experience ,Choose1 - 4 Credit(s).,GEOG,440,Field Studies,1-4,,,,
Geography,BS,Geography - BS,200212014,120,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone Experience ,Choose1 - 4 Credit(s).,GEOG,480,Seminar,1-4,,,,
Geography,BS,Geography - BS,200212014,120,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone Experience ,Choose1 - 4 Credit(s).,GEOG,491,Senior Paper,1-4,,,,
Geography,BS,Geography - BS,200212014,120,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone Experience ,Choose1 - 4 Credit(s).,GEOG,497,Internship,1-10,Consent ,,,
Geography,BS,Geography - BS,200212014,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural-Systematic GEOG 409 Selected Topics with the title Geography of Health or Population Geography may be substituted for Cultural-Systematic elective with departmental permission.,Choose  3 Credit(s).,GEOG,210W,Landscapes and Places,3,,,,
Geography,BS,Geography - BS,200212014,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural-Systematic GEOG 409 Selected Topics with the title Geography of Health or Population Geography may be substituted for Cultural-Systematic elective with departmental permission.,Choose  3 Credit(s).,GEOG,425,Economic Geography,3,,,,
Geography,BS,Geography - BS,200212014,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural-Systematic GEOG 409 Selected Topics with the title Geography of Health or Population Geography may be substituted for Cultural-Systematic elective with departmental permission.,Choose  3 Credit(s).,GEOG,428,Human Migration,3,,,Purple,
