ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Common Core,,,,,GEOL,122,GEOL 122,Earth History,4,,,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Common Core,,,,,GEOL,201,GEOL 201,Elements of Mineralogy,4,GEOL 100 or GEOL 107 or GEOL 121,,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Common Core,,,,,GEOL,495,GEOL 495,Seminar,2,GEOL 201,,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Common Core,,,Geology Foundation ,Choose  8 Credit(s).,GEOL,302,GEOL 302,Petrology,4, GEOL 201,,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Common Core,,,Geology Foundation ,Choose  8 Credit(s).,GEOL,320W,GEOL 320W,Sedimentology and Stratigraphy,4,"Select one course: GEOL 100, GEOL 107, GEOL 121",,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Common Core,,,Geology Foundation ,Choose  8 Credit(s).,GEOL,330,GEOL 330,Structural Geology,4,GEOL 100 or GEOL 107	or GEOL 121,,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Geology Electives Choose courses not used to satisfy Geology Foundation requirement.,Choose12 - 15 Credit(s).,GEOL,302,GEOL 302,Petrology,4, GEOL 201,,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Geology Electives Choose courses not used to satisfy Geology Foundation requirement.,Choose12 - 15 Credit(s).,GEOL,320W,GEOL 320W,Sedimentology and Stratigraphy,4,"Select one course: GEOL 100, GEOL 107, GEOL 121",,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Geology Electives Choose courses not used to satisfy Geology Foundation requirement.,Choose12 - 15 Credit(s).,GEOL,330,GEOL 330,Structural Geology,4,GEOL 100 or GEOL 107	or GEOL 121,,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Geology Electives Choose courses not used to satisfy Geology Foundation requirement.,Choose12 - 15 Credit(s).,GEOL,401,GEOL 401,Field Studies,1-3, GEOL 100 or GEOL 121 and GEOL 122 ,,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Geology Electives Choose courses not used to satisfy Geology Foundation requirement.,Choose12 - 15 Credit(s).,GEOL,410,GEOL 410,Glacial Geology,3,GEOL 100 or GEOL 107	or GEOL 121,,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Geology Electives Choose courses not used to satisfy Geology Foundation requirement.,Choose12 - 15 Credit(s).,GEOL,430,GEOL 430,Intro to Geophysics and Seismology,3,"GEOL 121, GEOL 201, GEOL 122",,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Geology Electives Choose courses not used to satisfy Geology Foundation requirement.,Choose12 - 15 Credit(s).,GEOL,449,GEOL 449,Applied Soil Science and Surface Hydrology,4,GEOL 100 GEOL 104 or GEOL 107 or GEOL 121,,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Geology Electives Choose courses not used to satisfy Geology Foundation requirement.,Choose12 - 15 Credit(s).,GEOL,450,GEOL 450,Hydrogeology,3,GEOL 100 or GEOL 107	or GEOL 121,,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Geology Electives Choose courses not used to satisfy Geology Foundation requirement.,Choose12 - 15 Credit(s).,GEOL,460,GEOL 460,Soil Biogeochemistry,3,"GEOL 104, and CHEM 191 or CHEM 201",,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Technical Elective Other 300-400 level science courses may be allowed with Department approval.,Choose3 - 4 Credit(s).,CHEM,305,CHEM 305,Analytical Chemistry,4, “C” (2.0) or higher in CHEM 202 ,,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Technical Elective Other 300-400 level science courses may be allowed with Department approval.,Choose3 - 4 Credit(s).,ENVR,440,ENVR 440,Environmental Regulations,3,,,
Geology,BS,Geology - BS,200410171,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Technical Elective Other 300-400 level science courses may be allowed with Department approval.,Choose3 - 4 Credit(s).,GEOG,315,GEOG 315,Geomorphology,4,,,
