ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Required General Education,,,,,COMM,110,Media and Society,4,,,Purple,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Required General Education,,,,,ENG,101,Foundations of Writing & Rhetoric,4,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Common Core,,,,,COMM,221W,Media Writing Fundamentals,4,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Common Core,,,,,COMM,330W,Multimedia Storytelling,4,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Common Core,,,,,COMM,370,Foundations of Health Communication,4,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Common Core,,,,,COMM,405,Strategic Advocacy Campaigns,4,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Common Core,,,,,COMM,470,Topics in Health Communication,4,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Common Core,,,,,ENG,271W,Technical Communication,4,ENG 101 ,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Common Core,,,,,ENG,471,Visual Technical Communication,4,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Common Core,,,,,ENG,483,Writing About Health and Medicine,4,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone ,Choose  1 Credit(s).,COMM,496,Capstone,1-4,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone ,Choose  1 Credit(s).,COMM,498,Internship,"1, 5, 6, 7, 8, 9, 10, 11, 12            ",,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone ,Choose  1 Credit(s).,ENG,498,Internship,1-6,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Restricted Electives,,,Health Specialization At least 7 credits must be upper-division. Other health electives may be substituted with approval.,Choose  11 Credit(s).,BIOL,220,Human Anatomy,4,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Restricted Electives,,,Health Specialization At least 7 credits must be upper-division. Other health electives may be substituted with approval.,Choose  11 Credit(s).,HLTH,321,Medical Terminology,3,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Restricted Electives,,,Health Specialization At least 7 credits must be upper-division. Other health electives may be substituted with approval.,Choose  11 Credit(s).,HLTH,360,Theories and Models of Health Education,3,HLTH 260,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Restricted Electives,,,Health Specialization At least 7 credits must be upper-division. Other health electives may be substituted with approval.,Choose  11 Credit(s).,HLTH,361W,Health Communication and Advocacy,4,"HLTH 101, HLTH 360",,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Restricted Electives,,,Health Specialization At least 7 credits must be upper-division. Other health electives may be substituted with approval.,Choose  11 Credit(s).,HLTH,465,Public Health and Healthcare Systems,3,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Restricted Electives,,,Health Specialization At least 7 credits must be upper-division. Other health electives may be substituted with approval.,Choose  11 Credit(s).,HLTH,477,Behavior Change Foundations and Strategies,3,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Restricted Electives,,,Health Specialization At least 7 credits must be upper-division. Other health electives may be substituted with approval.,Choose  11 Credit(s).,HLTH,482W,Administration and Grant Writing in Health Education,4,HLTH 380W,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Restricted Electives,,,Intercultural Competency  * COMM 415 and COMM 440 must be intercultural topics and requires permission of chair. ,Choose  4 Credit(s).,COMM,410,Topics in Relational Communication,1-4,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Restricted Electives,,,Intercultural Competency  * COMM 415 and COMM 440 must be intercultural topics and requires permission of chair. ,Choose  4 Credit(s).,COMM,415,Topics in Rhetoric and Culture,1-4,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Restricted Electives,,,Intercultural Competency  * COMM 415 and COMM 440 must be intercultural topics and requires permission of chair. ,Choose  4 Credit(s).,COMM,418,"Gender, Race, and Identity",4,,,,
Health Communication,BS,Health Communication - BS,202118370,120,Undergraduate,2024-2025,Major Restricted Electives,,,Intercultural Competency  * COMM 415 and COMM 440 must be intercultural topics and requires permission of chair. ,Choose  4 Credit(s).,COMM,440,Special Topics,1-4,,,,
