ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Health Informatics,BS,Health Informatics - BS,200429181,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,121,CIS 121,Introduction to Programming,4,MATH 112 or MATH 113 or MATH 115 or MATH 121,,
Health Informatics,BS,Health Informatics - BS,200429181,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,123,CIS 123,Applied Programming for Healthcare Professionals,4,"CIS 121. Select One Course: MATH 112, MATH 113, MATH 115, MATH 121, or MATH 130",,
Health Informatics,BS,Health Informatics - BS,200429181,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,340,CIS 340,Introduction to Database Systems,4,CIS 121 or an approved substitute.,,
Health Informatics,BS,Health Informatics - BS,200429181,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,350,CIS 350,Information Security,4,EE 107 or CIS 121 or an approved substitute.,,
Health Informatics,BS,Health Informatics - BS,200429181,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,380,CIS 380,Systems Analysis and Design,4,CIS 340. Select One Course: CIS 122 or CIS 123,,
Health Informatics,BS,Health Informatics - BS,200429181,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,440,CIS 440,Database Management Systems,4,"CIS 340, CIS 380",,
Health Informatics,BS,Health Informatics - BS,200429181,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,443,CIS 443,Health Information Technology in Clinical Practice,4,"CIS 113, CIS 340",,
Health Informatics,BS,Health Informatics - BS,200429181,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,444,CIS 444,Data Analytics,4,CIS 440,,
Health Informatics,BS,Health Informatics - BS,200429181,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,482,CIS 482,Human Computer Interaction,4,MATH 121. Select one: STAT 154 or PSYC 201. Select one: CS 230 or CIS 380,,
Health Informatics,BS,Health Informatics - BS,200429181,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,495,CIS 495,Seminar in Information Technology,1,,,
Health Informatics,BS,Health Informatics - BS,200429181,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,496,CIS 496,Selected Topics in Information Technology,1-4,,,
Health Informatics,BS,Health Informatics - BS,200429181,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,497,CIS 497,Internship,1-12,,,
Health Informatics,BS,Health Informatics - BS,200429181,120,,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,373,GEOG 373,Introduction to Geography Information Systems,4,,,
Health Informatics,BS,Health Informatics - BS,200429181,120,,Undergraduate,2024-2025,Major Common Core,,,,,NURS,282,NURS 282,Pathophysiology for Healthcare Professionals,3,BIOL 201 and BIOL 202 OR BIOL 220 and BIOL 330,,
Health Informatics,BS,Health Informatics - BS,200429181,120,,Undergraduate,2024-2025,Major Common Core,,,,,NURS,284,NURS 284,Pharmacology for Healthcare Professionals,3,Minimum of a C in BIOL 220 and BIOL 330.,,
