ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,210,HLTH 210,Emergency Medical Responder First Aid & CPR,3,,,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,311,HLTH 311,Family Life & Sex Education,3,,,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,320,HLTH 320,School Health Education,3,,,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,420W,HLTH 420W,Health Teaching Methods,3,HLTH 320,,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,451,HLTH 451,Emotional Health and Stress,3,,,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,454,HLTH 454,Chronic and Infectious Diseases,3,,,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,201,HP 201,Introduction to Teaching Physical Education,3,,HP 295,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,313,HP 313,Lifespan Motor Development,3,,,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,330,HP 330,MN PE Standards & Benchmarks,2,"HP 202, HP 295",,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,331,HP 331,Game Forms I,2,"HP 201, HP 295",,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,333,HP 333,Introduction to Developmental Adapted Physical Education,3,,,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,334,HP 334,Game Forms III,2,"HP 201, HP 295",,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,388,HP 388,Assessment in General Phys Educ & DAPE,3,"HP 295, HP 313, HP 333",HP 411,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,426,HP 426,Physical Education Teaching Styles,3,"HP 201, HP 295, HP 330",,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,427,HP 427,Applied Movement Principles,3,Majors only,,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,449,HP 449,K-12 Teaching Methods in Physical Education,3,"HP 201, HP 295, HP 388",HP 450,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,450,HP 450,K-12 Teaching Physical Education Practicum,1,"HP 201, HP 295, HP 388",HP 449,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,460,HP 460,Curriculum Design in Physical Education,3,"HP 449, HP 450",,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Required General Education,,,,,BIOL,100,BIOL 100,Our Natural World,4,,,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Required General Education,,,,,FCS,140,FCS 140,Introduction to Nutrition,3,,,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Required General Education,,,,,HLTH,101,HLTH 101,Health and the Environment,3,,,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Required General Education,,,,,HLTH,240,HLTH 240,Drug Education,3,,,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Required General Education,,,,,HP,295,HP 295,Fundamentals of Physical Education Activities,3,,,
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Required General Education,,,,,KSP,220W,KSP 220W,Human Relations in a Multicultural Society,3,,,Gold
Health and Physical Education,BS,Health and Physical Education - BS,8203,120,,Undergraduate,2024-2025,Required General Education,,,,,PSYC,101,PSYC 101,Introduction to Psychological Science,4,,,
