ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
History,GC,History - GC,200003001,18,,Graduate,2024-2025,Unrestricted Electives,,,History Electives ,Choose  16 Credit(s).,HIST,501,HIST 501,Classical World of Greece & Rome,4,,,
History,GC,History - GC,200003001,18,,Graduate,2024-2025,Unrestricted Electives,,,History Electives ,Choose  16 Credit(s).,HIST,502,HIST 502,"Foundations of Judaism, Christianity, & Islam",4,,,
History,GC,History - GC,200003001,18,,Graduate,2024-2025,Unrestricted Electives,,,History Electives ,Choose  16 Credit(s).,HIST,503,HIST 503,The Middle Ages,4,,,
History,GC,History - GC,200003001,18,,Graduate,2024-2025,Unrestricted Electives,,,History Electives ,Choose  16 Credit(s).,HIST,506,HIST 506,Renaissance and Reformation Europe,4,,,
History,GC,History - GC,200003001,18,,Graduate,2024-2025,Unrestricted Electives,,,History Electives ,Choose  16 Credit(s).,HIST,507,HIST 507,The Age of Absolutism and Enlightenment,4,,,
History,GC,History - GC,200003001,18,,Graduate,2024-2025,Unrestricted Electives,,,History Electives ,Choose  16 Credit(s).,HIST,508,HIST 508,Women and Gender in European History,4,,,
History,GC,History - GC,200003001,18,,Graduate,2024-2025,Unrestricted Electives,,,History Electives ,Choose  16 Credit(s).,HIST,514,HIST 514,Early England to 1603,4,,,
History,GC,History - GC,200003001,18,,Graduate,2024-2025,Unrestricted Electives,,,History Electives ,Choose  16 Credit(s).,HIST,515,HIST 515,England since 1603,4,,,
History,GC,History - GC,200003001,18,,Graduate,2024-2025,Unrestricted Electives,,,History Electives ,Choose  16 Credit(s).,HIST,519,HIST 519,France since the Revolution in 1789,4,,,
History,GC,History - GC,200003001,18,,Graduate,2024-2025,Unrestricted Electives,,,History Electives ,Choose  16 Credit(s).,HIST,524,HIST 524,Scandinavian History,4,,,
History,GC,History - GC,200003001,18,,Graduate,2024-2025,Unrestricted Electives,,,History Electives ,Choose  16 Credit(s).,HIST,530,HIST 530,United States: Selected Topics,1-4,,,
History,GC,History - GC,200003001,18,,Graduate,2024-2025,Unrestricted Electives,,,History Electives ,Choose  16 Credit(s).,HIST,531,HIST 531,European History: Selected Topics,1-4,,,
History,GC,History - GC,200003001,18,,Graduate,2024-2025,Unrestricted Electives,,,History Electives ,Choose  16 Credit(s).,HIST,532,HIST 532,World History: Selected Topics,1-4,,,
History,GC,History - GC,200003001,18,,Graduate,2024-2025,Unrestricted Electives,,,History Electives ,Choose  16 Credit(s).,HIST,534,HIST 534,East Asian History: 1800-1945,4,,,
History,GC,History - GC,200003001,18,,Graduate,2024-2025,Unrestricted Electives,,,History Electives ,Choose  16 Credit(s).,HIST,535,HIST 535,East Asian History: 1945 - The Present,4,,,
