ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
History,MS,History - MS,307,34,Graduate,2024-2025,Common Core,,,,,HIST,615,Historical Thinking and Professional Development,1,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Common Core,,,,,HIST,697,Internship,1-12,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Restricted Electives,,,Reading Seminars Courses can be repeated as topics change.,Choose  6 Credit(s).,HIST,600,Reading Seminar in European History,3,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Restricted Electives,,,Reading Seminars Courses can be repeated as topics change.,Choose  6 Credit(s).,HIST,602,Reading Seminar in World History,3,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Restricted Electives,,,Reading Seminars Courses can be repeated as topics change.,Choose  6 Credit(s).,HIST,604,Reading Seminar in United States History,3,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Restricted Electives,,,Research Seminars Courses can be repeated as topics change.,Choose  6 Credit(s).,HIST,608,Research Seminar in European History,3,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Restricted Electives,,,Research Seminars Courses can be repeated as topics change.,Choose  6 Credit(s).,HIST,609,Research Seminar in World History,3,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Restricted Electives,,,Research Seminars Courses can be repeated as topics change.,Choose  6 Credit(s).,HIST,610,Research Seminar in United States History,3,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,501,Classical World of Greece & Rome,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,502,"Foundations of Judaism, Christianity, & Islam",4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,503,The Middle Ages,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,506,Renaissance and Reformation Europe,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,507,The Age of Absolutism and Enlightenment,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,508,Women and Gender in European History,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,514,Early England to 1603,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,515,England since 1603,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,519,France since the Revolution in 1789,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,524,Scandinavian History,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,530,United States: Selected Topics,1-4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,531,European History: Selected Topics,1-4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,532,World History: Selected Topics,1-4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,534,East Asian History: 1800-1945,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,535,East Asian History: 1945 - The Present,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,536,History of East Asian Relations with the United States,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,537,African History to 1800,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,538,Modern Africa,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,542,Modern Latin America,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,546,Modern Middle East,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,552,Minnesota History,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,554,Early America to 1763,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,555,Revolutionary & Early National America 1763-1820,4,,,,
History,MS,History - MS,307,34,Graduate,2024-2025,Unrestricted Electives,,,Department of History Electives May substitute up to six non-History credits if approved by advisor and department graduate coordinator.,Choose  16 Credit(s).,HIST,558,U.S. History 1820-1861,4,,,,
