ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Capstone Course,,, ,Choose3 - 6 Credit(s).,PSYC,609,PSYC 609,Industrial/Organizational Psychology Internship,1-4,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Capstone Course,,, ,Choose3 - 6 Credit(s).,PSYC,699,PSYC 699,Thesis,3-6,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Common Core,,,,,PSYC,605,PSYC 605,Motivation,3,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Common Core,,,,,PSYC,619,PSYC 619,Psychometric Theory,4,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Common Core,,,,,PSYC,623,PSYC 623,Seminar Topics III,3,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Common Core,,,,,PSYC,633,PSYC 633,Job Analysis & Performance Appraisals,3,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Common Core,,,,,PSYC,642,PSYC 642,Group Psychology,3,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Common Core,,,,,PSYC,643,PSYC 643,I-O Seminar,1,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Common Core,,,,,PSYC,660,PSYC 660,Employee Selection,3,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Common Core,,,,,PSYC,661,PSYC 661,Workplace Diversity and Inclusion,2,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Common Core,,,,,PSYC,662,PSYC 662,Organization Development,3,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Common Core,,,,,PSYC,663,PSYC 663,Field Research in I-O,2,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Research/Methods Course(s),,,,,PSYC,610,PSYC 610,Research Design & Statistics,4,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Research/Methods Course(s),,,,,PSYC,618,PSYC 618,Multivariate Analysis,4,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Unrestricted Electives,,,,,PSYC,509,PSYC 509,History and Systems,4,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Unrestricted Electives,,,,,PSYC,514,PSYC 514,Learning,4,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Unrestricted Electives,,,,,PSYC,515,PSYC 515,Human Memory,4,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Unrestricted Electives,,,,,PSYC,536,PSYC 536,Adolescent Psychology,4,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Unrestricted Electives,,,,,PSYC,543,PSYC 543,Advanced Social Psychology,3,,,
Industrial/Organizational Psychology,MA,Industrial/Organizational Psychology - MA,574,44,,Graduate,2024-2025,Unrestricted Electives,,,,,PSYC,624,PSYC 624,Seminar Topics IV,4,,,
