ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Capstone Course,,,,,CIS,694,CIS 694, Alternate Plan Paper ,1-2,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Capstone Course,,,,,CIS,697,CIS 697,Internship,1-12,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Capstone Course,,,,,CIS,699,CIS 699, Thesis ,1-6,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Research/Methods Course(s),,,,,CIS,600,CIS 600,Research Methods,3,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose  10 Credit(s).,CIS,602,CIS 602,Research Seminar,1,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose  10 Credit(s).,CIS,640,CIS 640,Advanced Database Systems,3,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose  10 Credit(s).,CIS,641,CIS 641,Big Data Systems,3,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose  10 Credit(s).,CIS,662,CIS 662,Data Communications and Networking,3,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,,, ,Choose  10 Credit(s).,CIS,680,CIS 680,Software Engineering Project,3,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Database Technologies ,Database Technologies ,,,CIS,540,CIS 540,Database Management Systems,4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Database Technologies ,Database Technologies ,,,CIS,542,CIS 542,"Database Security, Auditing, and Disaster Recovery",4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Database Technologies ,Database Technologies ,,,CIS,544,CIS 544,Data Analytics,4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Database Technologies ,Database Technologies ,,,CIS,583,CIS 583, Web Applications and User Interface Design ,4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Networking and Information Security ,Networking and Information Security ,,,CIS,540,CIS 540, Database Management Systems ,4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Networking and Information Security ,Networking and Information Security ,,,CIS,542,CIS 542," Database Security, Auditing, and Disaster Recovery ",4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Networking and Information Security ,Networking and Information Security ,,,CIS,550,CIS 550,Information Warfare,4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Networking and Information Security ,Networking and Information Security ,,,CIS,560,CIS 560,Network and Security Protocols,4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Networking and Information Security ,Networking and Information Security ,,,CIS,562,CIS 562,Network Administration and Programming,4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Networking and Information Security ,Networking and Information Security ,,,CIS,564,CIS 564,Applications of Wireless and Mobile Networks,4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Networking and Information Security ,Networking and Information Security ,,,CIS,583,CIS 583, Web Applications and User Interface Design ,4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Software Development ,Software Development ,,,CIS,514,CIS 514,Advanced Object-Oriented Programming with Design Patterns,4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Software Development ,Software Development ,,,CIS,580,CIS 580,Software Quality Assurance and Testing,4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Software Development ,Software Development ,,,CIS,582,CIS 582,Human Computer Interaction,4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Software Development ,Software Development ,,,CIS,583,CIS 583, Web Applications and User Interface Design ,4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Restricted Electives,Software Development ,Software Development ,,,CIS,584,CIS 584,Software Engineering,4,,,
Information Technology,MS,Information Technology - MS,7665,32,,Graduate,2024-2025,Unrestricted Electives,600–level courses from the following list: ,600–level courses from the following list: ,,,CIS,601,CIS 601,Research Topics,3,,,
