ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,301,ENGR 301,Design I,3,,,
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,302,ENGR 302,Design II,3, ENGR 301,,
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,311W,ENGR 311W,Professionalism I,3,,,
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,312W,ENGR 312W,Professionalism II,3, ENGR 311W,,
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,321,ENGR 321,Engineering Core: Statistics,1,"Admission to major, minor or certificate programs.",,
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,322,ENGR 322,Engineering Core: Programming/Modeling,1,"Admission to major, minor or certificate programs.",,
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,331,ENGR 331,Mechanical Core: Dynamic Systems,1,Admission to program.,,
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,332,ENGR 332,Mechanical Core: Fluid Mechanics,1,Admission to program.,,
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,333,ENGR 333,Mechanical Core: Manufacturing Processes,1,Admission to program.,,
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,334,ENGR 334,Mechanical Core: Material Science,1,Admission to program.,,
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,335,ENGR 335,Mechanical Core: Mechanics of Materials,1,Admission to program.,,
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,336,ENGR 336,Mechanical Core: Thermodynamics,1,Admission to program.,,
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,341,ENGR 341,Electrical Core: AC Circuits,1,Admission to program.,,
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,342,ENGR 342,Electrical Core: Control Theory,1,Admission to program.,,
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,343,ENGR 343,Electrical Core: Digital Logic,1,Admission to program.,,
Integrated Engineering,BSE,Integrated Engineering - BSE,8377,128,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,344,ENGR 344,Electrical Core: Electronics,1,Admission to program.,,
