ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Interdisciplinary Humanities,BA,Interdisciplinary Humanities - BA,582,120,Undergraduate,2024-2025,Major Common Core,,,,,HUM,282W,Global Perspectives and Humanities Traditions,4,,,Purple,
Interdisciplinary Humanities,BA,Interdisciplinary Humanities - BA,582,120,Undergraduate,2024-2025,Major Common Core,,,,,HUM,350,Reading for Humanities,1-4,,,,
Interdisciplinary Humanities,BA,Interdisciplinary Humanities - BA,582,120,Undergraduate,2024-2025,Major Common Core,,,,,HUM,380,Topics in Humanities,4,,,,
Interdisciplinary Humanities,BA,Interdisciplinary Humanities - BA,582,120,Undergraduate,2024-2025,Major Common Core,,,,,HUM,490,Senior Capstone Project,4,Admission to college as Humanities Major ,,,
Interdisciplinary Humanities,BA,Interdisciplinary Humanities - BA,582,120,Undergraduate,2024-2025,Major Restricted Electives,,,Humanities Electives ,Choose  16 Credit(s).,HUM,101W,Introduction to Humanities and the Search for Meaning,4,,,,
Interdisciplinary Humanities,BA,Interdisciplinary Humanities - BA,582,120,Undergraduate,2024-2025,Major Restricted Electives,,,Humanities Electives ,Choose  16 Credit(s).,HUM,150,Western Humanities I: Cave Paintings to Cathedrals,4,,,,
Interdisciplinary Humanities,BA,Interdisciplinary Humanities - BA,582,120,Undergraduate,2024-2025,Major Restricted Electives,,,Humanities Electives ,Choose  16 Credit(s).,HUM,151,Western Humanities II: da Vinci to the Digital Age,4,,,,
Interdisciplinary Humanities,BA,Interdisciplinary Humanities - BA,582,120,Undergraduate,2024-2025,Major Restricted Electives,,,Humanities Electives ,Choose  16 Credit(s).,HUM,155,Global Humanities I: Asia & Africa,4,,,,
Interdisciplinary Humanities,BA,Interdisciplinary Humanities - BA,582,120,Undergraduate,2024-2025,Major Restricted Electives,,,Humanities Electives ,Choose  16 Credit(s).,HUM,156,"Global Humanities II: The Americas, Australia, & Oceania",4,,,Purple,
Interdisciplinary Humanities,BA,Interdisciplinary Humanities - BA,582,120,Undergraduate,2024-2025,Major Restricted Electives,,,Humanities Electives ,Choose  16 Credit(s).,HUM,250W,Perspectives in Humanities,4,,,,
Interdisciplinary Humanities,BA,Interdisciplinary Humanities - BA,582,120,Undergraduate,2024-2025,Major Restricted Electives,,,Humanities Electives ,Choose  16 Credit(s).,HUM,280W,Humanities Traditions,4,,,,
Interdisciplinary Humanities,BA,Interdisciplinary Humanities - BA,582,120,Undergraduate,2024-2025,Major Restricted Electives,,,Humanities Electives ,Choose  16 Credit(s).,HUM,281W,Human Diversity and Humanities Traditions,4,,,Purple,
