ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
International Business,BS,International Business - BS,167,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors  ,Choose  34 Credit(s).,ACCT,210,ACCT 210,Managerial Accounting,3, ACCT 200,,
International Business,BS,International Business - BS,167,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors  ,Choose  34 Credit(s).,BLAW,200,BLAW 200,Legal Environment of Business,3,,,
International Business,BS,International Business - BS,167,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors  ,Choose  34 Credit(s).,ECON,202,ECON 202,Principles of Microeconomics,3,,,
International Business,BS,International Business - BS,167,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors  ,Choose  34 Credit(s).,ECON,207,ECON 207,Business Statistics,4,MATH 112 or equivalent,,
International Business,BS,International Business - BS,167,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors  ,Choose  34 Credit(s).,FINA,362,FINA 362,Business Finance,3,ACCT 200,,
International Business,BS,International Business - BS,167,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors  ,Choose  34 Credit(s).,IBUS,380,IBUS 380,Principles of International Business,3,,,
International Business,BS,International Business - BS,167,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors  ,Choose  34 Credit(s).,MGMT,230,MGMT 230,Principles of Management,3,,,
International Business,BS,International Business - BS,167,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors  ,Choose  34 Credit(s).,MGMT,300,MGMT 300,Introduction to MIS,3,ISYS 101 or CIS 101,,
International Business,BS,International Business - BS,167,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors  ,Choose  34 Credit(s).,MGMT,346,MGMT 346,Operations Management for the Supply Chain,3, ECON 207 ,,
International Business,BS,International Business - BS,167,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors  ,Choose  34 Credit(s).,MGMT,481,MGMT 481,Business Policy & Strategy,3,"FINA 362, MRKT 210, MGMT 230, MGMT 346",,
