ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
International Relations,BA,International Relations - BA,233,120,,Undergraduate,2024-2025,Major Common Core,,,,,POL,231,POL 231,World Politics,4,,,
International Relations,BA,International Relations - BA,233,120,,Undergraduate,2024-2025,Major Common Core,,,,,POL,241,POL 241,Introduction to Comparative Politics,4,,,
International Relations,BA,International Relations - BA,233,120,,Undergraduate,2024-2025,Major Common Core,,,,,POL,431,POL 431,International Relations,4, POL 231,,
International Relations,BA,International Relations - BA,233,120,,Undergraduate,2024-2025,Major Common Core,,,Comparative Politics ,Choose  4 Credit(s).,POL,435,POL 435,"Capitalism, Nationalism, and Democracy",4, POL 241,,
International Relations,BA,International Relations - BA,233,120,,Undergraduate,2024-2025,Major Common Core,,,Comparative Politics ,Choose  4 Credit(s).,POL,439,POL 439,Comparative Social Policy: The Welfare State in Europe and the Americas,4, POL 241,,
International Relations,BA,International Relations - BA,233,120,,Undergraduate,2024-2025,Major Common Core,,,Comparative Politics ,Choose  4 Credit(s).,POL,440,POL 440,Topics in Comparative Politics,1-4,POL 241,,
International Relations,BA,International Relations - BA,233,120,,Undergraduate,2024-2025,Major Common Core,,,Comparative Politics ,Choose  4 Credit(s).,POL,441,POL 441,Russia & Neighboring States Politics,4, POL 241,,
International Relations,BA,International Relations - BA,233,120,,Undergraduate,2024-2025,Major Common Core,,,Comparative Politics ,Choose  4 Credit(s).,POL,442,POL 442,South Asia: Politics & Policy,4, POL 241,,
International Relations,BA,International Relations - BA,233,120,,Undergraduate,2024-2025,Major Common Core,,,Comparative Politics ,Choose  4 Credit(s).,POL,443,POL 443,Middle East Politics,4,POL 241,,
International Relations,BA,International Relations - BA,233,120,,Undergraduate,2024-2025,Major Common Core,,,Comparative Politics ,Choose  4 Credit(s).,POL,444,POL 444,Conflict and Development in Latin America,4,POL 241,,
