ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
International Sport Management,MS,International Sport Management - MS,202320081,30,Graduate,2024-2025,Common Core,,,,,HP,575,International Sport Management,3,,,,
International Sport Management,MS,International Sport Management - MS,202320081,30,Graduate,2024-2025,Common Core,,,,,HP,633,Sport Business Innovation and Sustainability,3,,,,
International Sport Management,MS,International Sport Management - MS,202320081,30,Graduate,2024-2025,Common Core,,,,,HP,643,International Sport Business Ethics and Diversity,2,,,,
International Sport Management,MS,International Sport Management - MS,202320081,30,Graduate,2024-2025,Common Core,,,,,HP,653,Digital Sport Marketing Analytics,2,,,,
International Sport Management,MS,International Sport Management - MS,202320081,30,Graduate,2024-2025,Common Core,,,,,HP,657,International Sport Finance and Economics,3,,,,
International Sport Management,MS,International Sport Management - MS,202320081,30,Graduate,2024-2025,Common Core,,,,,HP,663,International Sport Law & Governance,3,,,,
International Sport Management,MS,International Sport Management - MS,202320081,30,Graduate,2024-2025,Common Core,,,,,HP,667,Advanced Sport Marketing,3,,,,
International Sport Management,MS,International Sport Management - MS,202320081,30,Graduate,2024-2025,Common Core,,,,,HP,673,International Sport Media Communications,2,,,,
International Sport Management,MS,International Sport Management - MS,202320081,30,Graduate,2024-2025,Research/Methods Course(s),,,,,HP,630,Techniques of Research,3,,,,
International Sport Management,MS,International Sport Management - MS,202320081,30,Graduate,2024-2025,Capstone Course,,,,,HP,688,Applied Sport Business,3,,,,
International Sport Management,MS,International Sport Management - MS,202320081,30,Graduate,2024-2025,Capstone Course,,,,,HP,698,Internship,1-10,,,,
