ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,106,BIOL 106,General Biology II,4,,,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,211,BIOL 211,Genetics,4," BIOL 105, BIOL 106, and MATH 112 ",,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,215,BIOL 215,General Ecology,4, BIOL 105 and BIOL 106 or consent ,,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,300,BIOL 300,Evolutionary Analysis,3,"BIOL 105,  BIOL 106, BIOL 211",,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,325,BIOL 325,Principles of Human Anatomy,4,BIOL 105,,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,371,BIOL 371,Microbiology,4,"BIOL 105, BIOL 106, CHEM 201",,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,479,CHEM 479,Teaching Physical Science,4, Consent ,,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Major Common Core,,,,,GEOL,310,GEOL 310,Earth and Space Systems,3," AST 101, CHEM 201, GEOL 121 ",,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,212,PHYS 212,Principles of Physics II,4, PHYS 211 ,,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Major Common Core,,,Independent Study At least one credit is required.  Additional credits will be counted as electives.,Choose  1 Credit(s).,BIOL,499,BIOL 499,Individual Study,1-4,,,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  4 Credit(s).,BIOL,409,BIOL 409,Advanced Field Ecology,4," BIOL 105, BIOL 106, BIOL 215 or consent ",,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  4 Credit(s).,BIOL,436,BIOL 436,Animal Behavior,4,"BIOL 105, BIOL 106",,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Required General Education,,,,,AST,101,AST 101,Introduction to Astronomy,3,,,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Required General Education,,,,,BIOL,105,BIOL 105,General Biology I,4,,,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Required General Education,,,,,CHEM,201,CHEM 201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Required General Education,,,,,GEOL,121,GEOL 121,Physical Geology,4,,,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Required General Education,,,,,HLTH,240,HLTH 240,Drug Education,3,,,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Required General Education,,,,,KSP,220W,KSP 220W,Human Relations in a Multicultural Society,3,,,Gold
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Required General Education,,,,,PHYS,211,PHYS 211,Principles of Physics I,4,"Either MATH 112 and MATH 113, or MATH 115",,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Required General Education,,,Math Requirement ,Choose3 - 4 Credit(s).,MATH,113,MATH 113,Trigonometry,3," Satisfy Placement Table in this section, or MATH 112 with “C” (2.0) or better. ",,
Life Science Teaching (5-12),BS,Life Science Teaching (5-12) - BS,2523,120,,Undergraduate,2024-2025,Required General Education,,,Math Requirement ,Choose3 - 4 Credit(s).,MATH,115,MATH 115,Precalculus Mathematics,4,"Satisfy Math Placement Table in this section, or grade of P in MATH 098.",,
