ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,275W,ENG 275W,Introduction to Literary Studies,4, ENG 101 ,,
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,322,ENG 322,Topics in British Literature,4,,,
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,323,ENG 323,Topics in US Literature,4,,,
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,441,ENG 441,Literary Theory and Criticism,4, 6 semester credits in literature ,,
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural Diversity ,Choose2 - 4 Credit(s).,ENG,318,ENG 318,Multicultural Literature,2-4,,,Purple
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural Diversity ,Choose2 - 4 Credit(s).,ENG,412W,ENG 412W,Arab American Literature,4,,,Purple
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural Diversity ,Choose2 - 4 Credit(s).,ENG,436W,ENG 436W,Native American Literature,4,,,Purple
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural Diversity ,Choose2 - 4 Credit(s).,ENG,437W,ENG 437W,Latina/o Literature,2-4,,,Purple
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural Diversity ,Choose2 - 4 Credit(s).,ENG,438W,ENG 438W,African American Literature,4,,,Purple
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Major Author ,Choose  4 Credit(s).,ENG,403W,ENG 403W,Selected Authors,4,,,
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Major Author ,Choose  4 Credit(s).,ENG,407,ENG 407,Shakespeare,4,,,
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Restricted Electives,,,World Literature ,Choose  4 Credit(s).,ENG,433W,ENG 433W,Selected Studies in World Literature,4,,,Purple
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Restricted Electives,,,World Literature ,Choose  4 Credit(s).,ENG,435,ENG 435,The World Novel,2-4,,,
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Electives Sufficient electives to reach 40 credits,Choose12 - 14 Credit(s).,ENG,316,ENG 316,Topics in Literature,1-4,,,
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Electives Sufficient electives to reach 40 credits,Choose12 - 14 Credit(s).,ENG,317,ENG 317,Literature & the Environment,4,,,
Literature,BA,Literature - BA,8422,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Electives Sufficient electives to reach 40 credits,Choose12 - 14 Credit(s).,ENG,318,ENG 318,Multicultural Literature,2-4,,,Purple
