ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Emphasis Common Core,,,,,MGMT,340,MGMT 340,Human Resource Management,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Emphasis Common Core,,,,,MGMT,380,MGMT 380,Human Behavior in Organizations,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Emphasis Common Core,,,,,MGMT,459,MGMT 459,Management Information Systems,3,"MGMT 230, MGMT 300",,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Emphasis Common Core,,,,,MGMT,472,MGMT 472,Project Management,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Emphasis Common Core,,,,,MGMT,484,MGMT 484,Leadership,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,ACCT,310,ACCT 310,Management Accounting I,3,"ACCT 200, ACCT 210",,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,BLAW,477,BLAW 477,Negotiation and Conflict Resolution,3,BLAW 200,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,BUS,397,BUS 397,IBE Practicum,3,Must be admitted to a major.,"FINA 362, MGMT 230, MRKT 210",
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,MGMT,360,MGMT 360,AgriBusiness in the Modern Economy,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,MGMT,443,MGMT 443,Entrepreneurship: New Venture Growth,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,MGMT,447,MGMT 447,Management: Special Topics,3,MGMT 230,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,MGMT,449,MGMT 449,Quality Management,3, ECON 207 or equivalent ,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,MGMT,473,MGMT 473,Enterprise Resource Planning (ERP),3,MGMT 300,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,MGMT,482,MGMT 482,"Business, Society, & Ethics",3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,MGMT,497,MGMT 497,Internship,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors: ,Choose  34 Credit(s).,ACCT,210,ACCT 210,Managerial Accounting,3, ACCT 200,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors: ,Choose  34 Credit(s).,BLAW,200,BLAW 200,Legal Environment of Business,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors: ,Choose  34 Credit(s).,ECON,202,ECON 202,Principles of Microeconomics,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors: ,Choose  34 Credit(s).,ECON,207,ECON 207,Business Statistics,4,MATH 112 or equivalent,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors: ,Choose  34 Credit(s).,FINA,362,FINA 362,Business Finance,3,ACCT 200,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors: ,Choose  34 Credit(s).,IBUS,380,IBUS 380,Principles of International Business,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors: ,Choose  34 Credit(s).,MGMT,230,MGMT 230,Principles of Management,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors: ,Choose  34 Credit(s).,MGMT,300,MGMT 300,Introduction to MIS,3,ISYS 101 or CIS 101,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors: ,Choose  34 Credit(s).,MGMT,346,MGMT 346,Operations Management for the Supply Chain,3, ECON 207 ,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors: ,Choose  34 Credit(s).,MGMT,481,MGMT 481,Business Policy & Strategy,3,"FINA 362, MRKT 210, MGMT 230, MGMT 346",,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business majors: ,Choose  34 Credit(s).,MRKT,210,MRKT 210,Principles of Marketing,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Prerequisites to the Major,,, ,Choose  8 Credit(s).,ACCT,200,ACCT 200,Financial Accounting,3,MATH 112 or MATH 115	or MATH 121 or MATH 130 or MATH 181,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Prerequisites to the Major,,, ,Choose  8 Credit(s).,BUS,295,BUS 295,Professional Preparation for Business Careers,2,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Prerequisites to the Major,,, ,Choose  8 Credit(s).,CIS,101,CIS 101,Introduction to Information Systems,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Required General Education,,,,,ECON,201,ECON 201,Principles of Macroeconomics,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Required General Education,,,,,MATH,130,MATH 130,Finite Mathematics and Introductory Calculus,4,"Satisfy Placement Table in this section, or grade of “C” (2.0) or better in either MATH 112 or MATH 115.",,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,120W,PHIL 120W,Introduction to Ethics,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,205W,PHIL 205W,"Culture, Identity, and Diversity",3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,222W,PHIL 222W,Medical Ethics,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,224W,PHIL 224W,Business Ethics,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,226W,PHIL 226W,Environmental Ethics,3,,,
Management,BS,Management - BS,22,120,Business Management,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,240W,PHIL 240W,"Law, Justice & Society",3,,,
