ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Common Core,,,,,ACCT,200,ACCT 200,Financial Accounting,3,MATH 112 or MATH 115	or MATH 121 or MATH 130 or MATH 181,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,121,CIS 121,Introduction to Programming,4,MATH 112 or MATH 113 or MATH 115 or MATH 121,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,122,CIS 122,Data Structures,4,"CIS 121. Select One Course: MATH 112, MATH 113, MATH 115, MATH 121, or MATH 130",,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,223,CIS 223,Algorithms,4,MATH 121 and CS 111 or CIS 122 or IT 214,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,311,CIS 311,Business Application Programming,4,CIS 122,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,340,CIS 340,Introduction to Database Systems,4,CIS 121 or an approved substitute.,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,350,CIS 350,Information Security,4,EE 107 or CIS 121 or an approved substitute.,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,380,CIS 380,Systems Analysis and Design,4,CIS 340. Select One Course: CIS 122 or CIS 123,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,440,CIS 440,Database Management Systems,4,"CIS 340, CIS 380",,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,497,CIS 497,Internship,1-12,,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Common Core,,,,,ECON,207,ECON 207,Business Statistics,4,MATH 112 or equivalent,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,271W,ENG 271W,Technical Communication,4, ENG 101 ,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Restricted Electives,Cluster 1: Integrated Business Experience (IBE) - 15 credits ,,,Choose  12 Credit(s).,CIS,499,CIS 499,Individual Study,1-4,,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Restricted Electives,Cluster 1: Integrated Business Experience (IBE) - 15 credits ,,,Choose  12 Credit(s).,FINA,362,FINA 362,Business Finance,3,ACCT 200,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Restricted Electives,Cluster 1: Integrated Business Experience (IBE) - 15 credits ,,,Choose  12 Credit(s).,MGMT,230,MGMT 230,Principles of Management,3,,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Restricted Electives,Cluster 1: Integrated Business Experience (IBE) - 15 credits ,,,Choose  12 Credit(s).,MRKT,210,MRKT 210,Principles of Marketing,3,,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Restricted Electives,Cluster 1: Integrated Business Experience (IBE) - 15 credits ,,,Choose  3 Credit(s).,ACCT,210,ACCT 210,Managerial Accounting,3, ACCT 200,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Restricted Electives,Cluster 1: Integrated Business Experience (IBE) - 15 credits ,,,Choose  3 Credit(s).,BLAW,471,BLAW 471,Technology and Intellectual Property Law,3,,,
Management Information Systems,BS,Management Information Systems - BS,5514,120,,Undergraduate,2024-2025,Major Restricted Electives,Cluster 1: Integrated Business Experience (IBE) - 15 credits ,,,Choose  3 Credit(s).,MGMT,346,MGMT 346,Operations Management for the Supply Chain,3, ECON 207 ,,
