ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Required General Education,,,,,ECON,202,Principles of Microeconomics,3,,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Required General Education,,,,,ENG,271W,Technical Communication,4,ENG 101 ,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,CHEM,104,Introduction to Chemistry,3,,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EET,113,DC Circuits,3,MATH 112 or MATH 115,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,ENG,101,Foundations of Writing & Rhetoric,4,,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MET,104,Introduction to Manufacturing Engineering Technology,1,,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MET,142,Introduction to Parametric Modeling,3,,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MET,275,Manufacturing Processes I,4,CHEM 104 and MET 142 ,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,PHYS,211,Principles of Physics I,4,"Either MATH 112 and MATH 113, or MATH 115",,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,STAT,154,Elementary Statistics,4,"Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Prerequisites to the Major,,,CMST ,Choose  3 Credit(s).,COMM,100,Fundamentals of Communication,3,,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Prerequisites to the Major,,,CMST ,Choose  3 Credit(s).,COMM,102,Public Speaking,3,,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,AET,334,Fluid Power,3,"MATH 121, PHYS 211",,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MATH,122,Calculus II,4,MATH 121 with “C” (2.0) or better or consent,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,323,Statics,3,PHYS 211 and MATH 121,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,324,Strength of Materials and Dynamics,4,MET 323,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,341,Advanced Parametric Modeling,3,MET 142,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,347,Manufacturing Automation,4,"EET 113, MET 275, MET 341",,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,375,Manufacturing Processes II,4,MET 275,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,386,Metrology for Engineering Technologist,3,"MATH 121, MET 341, STAT 154. Admission to AET/MET major.",,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,407,Manufacturing Resource Planning and Control,3,,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,423,Ergonomics & Work Measurement,3,STAT 154,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,424,Industrial Safety,2,,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,425,Project and Value Management,3,STAT 154,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,426,Logistics and Transportation,3,STAT 154,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,427,Quality Management Systems,3,STAT 154,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,428,Lean Manufacturing,3,,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,448,Computer Integrated Manufacturing,3,"MET 347, PHYS 212",,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,455,Project and Value Management II,3,MET 425,,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,488W,Senior Design Project I,2,"ENG 271W, MET 275, MET 425, 10 AET or MET 300/400 level credits",,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,489W,Senior Design Project II,2,"MET 488W, Permission Required",,,
Manufacturing Engineering Technology,BS,Manufacturing Engineering Technology - BS,4490,128,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,212,Principles of Physics II,4,PHYS 211 ,,,
