ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Common Core,,,,,MATH,122,MATH 122,Calculus II,4,MATH 121 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Common Core,,,,,MATH,170,MATH 170,Introduction to Mathematical Software Programming,3, MATH 121,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Common Core,,,,,MATH,223,MATH 223,Calculus III,4,"MATH 122 with “C” (2.0) or better, or consent",,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Common Core,,,,,MATH,247,MATH 247,Linear Algebra I,4,MATH 122 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Common Core,,,,,MATH,316,MATH 316,Intermediate Analysis,3,MATH 223 and MATH 290 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Common Core,,,,,MATH,321,MATH 321,Ordinary Differential Equations,4,MATH 122 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Common Core,,,,,MATH,345,MATH 345,Abstract Algebra I,4,MATH 290 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Common Core,,,,,MATH,375,MATH 375,Introduction to Discrete Mathematics,4,MATH 247 and MATH 290 with grade of “C” (2.0) or higher.,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Common Core,,,,,MATH,492W,MATH 492W,Mathematics Capstone Experience,3," Two of the following: MATH 316, MATH 321, MATH 345, MATH 375 and senior standing (or permission of the instructor). Course can also be taken independent study with permission of a cooperating faculty member. ",,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Algebra ,,MATH,442,MATH 442,Theory of Numbers,4,MATH 345 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Algebra ,,MATH,446,MATH 446,Abstract Algebra II,4,MATH 345 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Algebra ,,MATH,447,MATH 447,Linear Algebra II,3,MATH 345 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Algebra ,,MATH,475,MATH 475,Advanced Mathematical Software Programming,4,"Math 345 and Math 375 with a ""C"" (2.0) or better, and senior standing or consent.",,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,"Analysis, Geometry and Topology ",,MATH,332,MATH 332,College Geometry,4,MATH 290 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,"Analysis, Geometry and Topology ",,MATH,402,MATH 402,Introduction to Topology,4, MATH 290 with grade of “C” (2.0) or higher. ,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,"Analysis, Geometry and Topology ",,MATH,411,MATH 411,Introduction to Complex Variables,4,MATH 223 and MATH 290 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,"Analysis, Geometry and Topology ",,MATH,417,MATH 417,Real Analysis I,4, MATH 223 and MATH 290 with “C” (2.0) or better or consent ,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,"Analysis, Geometry and Topology ",,MATH,418,MATH 418,Real Analysis II,3, MATH 417 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,"Analysis, Geometry and Topology ",,MATH,435,MATH 435,Modern Geometry,4,"MATH 247 and MATH 290 with grade of ""C"" (2.0) or higher or consent.",,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Mathematics ,,MATH,422,MATH 422,Partial Differential Equations,4,MATH 223 and MATH 321 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Mathematics ,,MATH,425,MATH 425,Mathematical Modeling,4,MATH 223 and MATH 247 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Mathematics ,,MATH,428,MATH 428,Linear Optimization Methods,4," MATH 122, MATH 247",,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Mathematics ,,MATH,470,MATH 470,Numerical Analysis I,4,"MATH 122, MATH 247 with “C” (2.0) or better or consent",,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Mathematics ,,MATH,471,MATH 471,Numerical Analysis II,4,MATH 470 and MATH 223 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Mathematics ,,MATH,475,MATH 475,Advanced Mathematical Software Programming,4,"Math 345 and Math 375 with a ""C"" (2.0) or better, and senior standing or consent.",,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,"Statitics and Finance STAT 354, STAT 455 and STAT 456 may substitute for MATH 354, MATH 455 and MATH 456, respectively.",,MATH,354,MATH 354,Concepts of Probability & Statistics,4,MATH 122 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,"Statitics and Finance STAT 354, STAT 455 and STAT 456 may substitute for MATH 354, MATH 455 and MATH 456, respectively.",,MATH,455,MATH 455,Theory of Statistics I,4,MATH 223 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,"Statitics and Finance STAT 354, STAT 455 and STAT 456 may substitute for MATH 354, MATH 455 and MATH 456, respectively.",,MATH,456,MATH 456,Theory of Statistics II,4,MATH 455 / STAT 455 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,"Statitics and Finance STAT 354, STAT 455 and STAT 456 may substitute for MATH 354, MATH 455 and MATH 456, respectively.",,MATH,460,MATH 460,Actuarial Applications in Probability,3," (MATH 354, STATS 354, MATH 455 or STAT 455) and MATH 223",,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Restricted Electives,,,"Statitics and Finance STAT 354, STAT 455 and STAT 456 may substitute for MATH 354, MATH 455 and MATH 456, respectively.",,MATH,461,MATH 461,Mathematical Theory of Interest,4,MATH 122 with C (2.0) or better or consent.,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,332,MATH 332,College Geometry,4,MATH 290 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,354,MATH 354,Concepts of Probability & Statistics,4,MATH 122 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,402,MATH 402,Introduction to Topology,4, MATH 290 with grade of “C” (2.0) or higher. ,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,411,MATH 411,Introduction to Complex Variables,4,MATH 223 and MATH 290 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,417,MATH 417,Real Analysis I,4, MATH 223 and MATH 290 with “C” (2.0) or better or consent ,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,418,MATH 418,Real Analysis II,3, MATH 417 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,422,MATH 422,Partial Differential Equations,4,MATH 223 and MATH 321 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,425,MATH 425,Mathematical Modeling,4,MATH 223 and MATH 247 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,428,MATH 428,Linear Optimization Methods,4," MATH 122, MATH 247",,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,435,MATH 435,Modern Geometry,4,"MATH 247 and MATH 290 with grade of ""C"" (2.0) or higher or consent.",,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,442,MATH 442,Theory of Numbers,4,MATH 345 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,446,MATH 446,Abstract Algebra II,4,MATH 345 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,447,MATH 447,Linear Algebra II,3,MATH 345 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,455,MATH 455,Theory of Statistics I,4,MATH 223 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,456,MATH 456,Theory of Statistics II,4,MATH 455 / STAT 455 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,460,MATH 460,Actuarial Applications in Probability,3," (MATH 354, STATS 354, MATH 455 or STAT 455) and MATH 223",,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,461,MATH 461,Mathematical Theory of Interest,4,MATH 122 with C (2.0) or better or consent.,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,470,MATH 470,Numerical Analysis I,4,"MATH 122, MATH 247 with “C” (2.0) or better or consent",,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,471,MATH 471,Numerical Analysis II,4,MATH 470 and MATH 223 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,MATH,480,MATH 480,History of Mathematics,3,MATH 345 with “C” (2.0) or better or consent,,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Required General Education,,,,,MATH,121,MATH 121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,
Mathematics,BS,Mathematics - BS,115,120,,Undergraduate,2024-2025,Required General Education,,,,,MATH,290,MATH 290,Foundations of Mathematics,4,MATH 122 with “C” (2.0) or better or consent.,,
