ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Capstone Course,,, Comprehensive Exam: The Exam covers courses in the Common Core.,Choose1 - 4 Credit(s).,MATH,694,MATH 694,Alternate Plan Paper,1,Consent,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Capstone Course,,, Comprehensive Exam: The Exam covers courses in the Common Core.,Choose1 - 4 Credit(s).,MATH,699,MATH 699,Thesis,1-4,Consent,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Common Core,,,,,MATH,517,MATH 517,Real Analysis I,4,MATH 223 and MATH 290 with “C” (2.0) or better or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Common Core,,,,,MATH,547,MATH 547,Linear Algebra II,3,MATH 345 with “C” (2.0) or better or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Common Core,,,,,MATH,555,MATH 555,Theory of Statistics I,4,MATH 223 with “C” (2.0) or better or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Common Core,,,,,MATH,570,MATH 570,Numerical Analysis I,4,MATH 122 and MATH 247 with “C” (2.0) or better or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 3: Community College Teaching A minimum of 9 credits of 600 level mathematics. Advisor approval required.,Choose  15 Credit(s).,KSP,676,KSP 676,Adult Development and Learning,3,,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 3: Community College Teaching A minimum of 9 credits of 600 level mathematics. Advisor approval required.,Choose  15 Credit(s).,KSP,680,KSP 680,Pedagogy in Online Learning Environments,3,,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,605,MATH 605,Graphs and Algorithms,3,(MATH 417 or MATH 517) and Math 375 and (MATH 447 or MATH 547) or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,606,MATH 606,Topics in Discrete Mathematics,3,MATH 375 and (MATH 447 or MATH 547) or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,611,MATH 611,Real Analysis,3,MATH 417 or MATH 517 or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,613,MATH 613,Topics in Analysis,3,(MATH 417 or MATH 517) or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,618,MATH 618,Functional Analysis,3,(MATH 417 or MATH 517) and (MATH 447 or MATH 547) or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,620,MATH 620,Applied Mathematics,3,MATH 321 and (MATH 417 or MATH 517) and (MATH 447 or MATH 547) or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,621,MATH 621,Topics in Applied Mathematics,3,(MATH 417 or MATH 517) and (MATH 422 or MATH 522) and (MATH 447 or MATH 547) or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,625,MATH 625,Complex Variables,3,(MATH 417 or MATH 517) or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,628,MATH 628,Numerical Optimization,3,MATH 517 and MATH 547,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,635,MATH 635,Topics in Geometry,3,Consent,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,641,MATH 641,Abstract Algebra,3,MATH 345 or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,645,MATH 645,Topics in Algebra,3,MATH 641 or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,672,MATH 672,Numerical Analysis of Differential Equations,3,MATH 321 and (MATH 470 or MATH 570) or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,674,MATH 674,Computations in Linear Algebra,3,(MATH 447 or MATH 547) and (MATH 470 or MATH 570) or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,677,MATH 677,Individual Study,,Consent,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,680,MATH 680,Topics in Mathematics,,,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,689,MATH 689,Readings in Mathematics,,Consent,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,692,MATH 692,Topology,3,MATH 417 or MATH 517 or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,693,MATH 693,Topics in Topology,3,MATH 692 or consent.,,
Mathematics,MA,Mathematics - MA,223,34,,Graduate,2024-2025,Restricted Electives,,,Track 1: Broad Selection ,Choose  15 Credit(s).,MATH,698,MATH 698,Internship,,,,
