ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Required General Education,,,,,ENG,101,Foundations of Writing & Rhetoric,4,,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Required General Education,,, ,Choose3 - 4 Credit(s).,COMM,102,Public Speaking,3,,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Required General Education,,, ,Choose3 - 4 Credit(s).,ENG,271W,Technical Communication,4,ENG 101 ,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,CHEM,191,Chemistry Applications,3,High school chemistry or “C” (2.0) or higher in CHEM 104. Student must demonstrate math placement requirements at or above MATH 115 in the placement chart. See Mathematics for details.,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,122,Calculus II,4,MATH 121 with “C” (2.0) or better or consent,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,223,Calculus III,4,"MATH 122 with “C” (2.0) or better, or consent",,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,321,Ordinary Differential Equations,4,MATH 122 with “C” (2.0) or better or consent,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,PHYS,221,General Physics I,4,,MATH 121,,MATH 121
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,PHYS,222,General Physics II,3,MATH 121 with a “C” or better; PHYS 221 with a “C” or better.,MATH 122,,MATH 122
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,PHYS,232,General Physics II Laboratory,1,PHYS 221 with a “C” or better; and PHYS 222 or concurrent.,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,EE,230,Circuit Analysis I,3,"PHYS 222 or concurrent, MATH 321 or concurrent",,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,EE,240,Evaluation of Circuits,1,Must be taken concurrently with EE 230. ,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,EE,244,Introduction to Digital Systems,2,,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,ME,101,Introduction to Engineering - Mechanical,2,ACT Math Subscore of 23 or higher.,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,ME,103,Computer Graphics Communication,1,,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,ME,201,Introduction to Problem Solving and Engineering Design,2,ME 101 ," ME 103, MATH 121 ",,"ME 103, MATH 121 "
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,ME,203,Geometric Dimensioning and Tolerancing in Engineering Design,2,"ME 103, ME 201 ",,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,ME,212,Statics,3,PHYS 221,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,ME,214,Dynamics,3,ME 212 ,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,ME,223,Mechanics of Materials,3,ME 212 ,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,ME,241,Thermodynamics,3,PHYS 221 ,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,ME,291,Engineering Analysis,3,"MATH 122, PHYS 221. Select one from EE 107, CIVE 201, ME 201",,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,ME,306,Materials Science,3,ME 223,,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,ME,321,Fluid Mechanics,3,"MATH 223, ME 214",,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,ME,324,Heat Transfer,3,"ME 241, ME 321 ",,,
Mechanical Engineering,BSME,Mechanical Engineering - BSME,7349,128,Undergraduate,2024-2025,Major Common Core,,,,,ME,329,Applied Thermodynamics,3,"CHEM 191, ME 241",,,
