ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Music,BA,Music - BA,175,120,,Undergraduate,2024-2025,Major Common Core,,,,,MUSC,115,MUSC 115,Musicianship 1 for BA/BSME,4,,,
Music,BA,Music - BA,175,120,,Undergraduate,2024-2025,Major Common Core,,,,,MUSC,116,MUSC 116,Musicianship 2 for BA/BSME,4,,,
Music,BA,Music - BA,175,120,,Undergraduate,2024-2025,Major Common Core,,,,,MUSC,117,MUSC 117,Musicianship 3 for BA/BSME,4,,,
Music,BA,Music - BA,175,120,,Undergraduate,2024-2025,Major Common Core,,,,,MUSP,498,MUSP 498,Senior Capstone Project or Recital,0-1,,,
Music,BA,Music - BA,175,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Lessons ,Choose4 - 14 Credit(s).,MUSP,151,MUSP 151,Private Voice 1,"1,3",Permission of Instructor,,
Music,BA,Music - BA,175,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Lessons ,Choose4 - 14 Credit(s).,MUSP,152,MUSP 152,Introduction to Vocal Studies,1,,,
Music,BA,Music - BA,175,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Lessons ,Choose4 - 14 Credit(s).,MUSP,154,MUSP 154,Private Study Jazz,1,,,
Music,BA,Music - BA,175,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Lessons ,Choose4 - 14 Credit(s).,MUSP,155,MUSP 155,Private Piano 1,"1,3",Permission of instructor,,
Music,BA,Music - BA,175,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Lessons ,Choose4 - 14 Credit(s).,MUSP,156,MUSP 156,Private Harpsichord 1,"1,3",Permission of instructor,,
Music,BA,Music - BA,175,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Lessons ,Choose4 - 14 Credit(s).,MUSP,157,MUSP 157,Private Organ 1,"1,3",Permission of instructor,,
Music,BA,Music - BA,175,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Lessons ,Choose4 - 14 Credit(s).,MUSP,161,MUSP 161,Private Trumpet 1,"1,3",Permission of instructor,,
Music,BA,Music - BA,175,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Lessons ,Choose4 - 14 Credit(s).,MUSP,162,MUSP 162,Private Horn 1,"1,3",Permission of instructor,,
Music,BA,Music - BA,175,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Lessons ,Choose4 - 14 Credit(s).,MUSP,163,MUSP 163,Private Trombone 1,"1,3",Permission of instructor,,
Music,BA,Music - BA,175,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Applied Lessons ,Choose4 - 14 Credit(s).,MUSP,164,MUSP 164,Private Euphonium 1,"1,3",Permission of instructor,,
