ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Required General Education,,, Note: An additional 2 credits may be counted for General Education Goal Area 11: Performance and Participation,Choose  9 Credit(s).,HLTH,240,Drug Education,3,,,,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Required General Education,,, Note: An additional 2 credits may be counted for General Education Goal Area 11: Performance and Participation,Choose  9 Credit(s).,KSP,220W,Human Relations in a Multicultural Society,3,,,Gold,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Required General Education,,, Note: An additional 2 credits may be counted for General Education Goal Area 11: Performance and Participation,Choose  9 Credit(s).,MUSC,307,Music of the World,3,,,Gold,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Required General Education,,,Complete all courses below Note: An additional 2 credits may be counted for General Education Goal Area 11: Performance and Participation,Choose  9 Credit(s).,HLTH,240,Drug Education,3,,,,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Required General Education,,,Complete all courses below Note: An additional 2 credits may be counted for General Education Goal Area 11: Performance and Participation,Choose  9 Credit(s).,KSP,220W,Human Relations in a Multicultural Society,3,,,Gold,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Required General Education,,,Complete all courses below Note: An additional 2 credits may be counted for General Education Goal Area 11: Performance and Participation,Choose  9 Credit(s).,MUSC,307,Music of the World,3,,,Gold,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Major Common Core,,,,,MUSC,105,Introduction to Music Education,3,,,,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Major Common Core,,,,,MUSC,115,Musicianship 1 for BA/BSME,4,,,,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Major Common Core,,,,,MUSC,116,Musicianship 2 for BA/BSME,4,,,,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Major Common Core,,,,,MUSC,117,Musicianship 3 for BA/BSME,4,,,,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Major Common Core,,,,,MUSC,341,General Music K-12,3,,,,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Major Common Core,,,,,MUSC,343,General Music Lab,3,,,,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Major Restricted Electives,,,Ensembles ,Choose  7 Credit(s).,MUSP,101,Concert Choir,0-1,,,,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Major Restricted Electives,,,Ensembles ,Choose  7 Credit(s).,MUSP,102,University Chorale,0-1,,,,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Major Restricted Electives,,,Ensembles ,Choose  7 Credit(s).,MUSP,103,Chamber Singers,0-1,,,,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Major Restricted Electives,,,Ensembles ,Choose  7 Credit(s).,MUSP,108,Contemporary Vocal Ensemble,0-1,,,,
Music Education,BS,Music Education - BS,258,120,Undergraduate,2024-2025,Major Restricted Electives,,,Ensembles ,Choose  7 Credit(s).,MUSP,111,Music Productions for the Stage and Screen,0-1,,,,
