ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Common Core,,,,,MUSC,507,MUSC 507,Music of the World,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Common Core,,,,,MUSC,511,MUSC 511,Form and Analysis,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Common Core,,,,,MUSC,567,MUSC 567,Applied Music Literature,1-4,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Common Core,,,,,MUSC,600,MUSC 600,Introduction to Graduate Music Study,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Choral Capstone ,Choral Capstone ,,,MUSC,699,MUSC 699,Thesis,3-6,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Music Education Capstone ,Music Education Capstone ,,,MUSC,699,MUSC 699,Thesis,3-6,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization:  Choral Conducting ,,,Choose  7 Credit(s).,MUSP,601,MUSP 601,Ensemble Practicum,1-4,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization:  Choral Conducting ,,,Choose  7 Credit(s).,MUSP,694,MUSP 694,Private Instruction in Choral Conducting,1-3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization:  Choral Conducting ,,,Choose8 - 9 Credit(s).,MUSC,551,MUSC 551,Vocal Literature,2,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization:  Choral Conducting ,,,Choose8 - 9 Credit(s).,MUSC,553,MUSC 553,Diction for Singers,2,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization:  Choral Conducting ,,,Choose8 - 9 Credit(s).,MUSC,566,MUSC 566,Applied Music Pedagogy,1-4,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization:  Choral Conducting ,,,Choose8 - 9 Credit(s).,MUSP,651,MUSP 651,Private Voice for Masters,"1,3",,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization:  Choral Conducting ,,,Choose8 - 9 Credit(s).,MUSP,655,MUSP 655,Private Piano for Masters,"1,3",,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization:  Choral Conducting ,,,Choose8 - 9 Credit(s).,MUSP,692,MUSP 692,Seminar in Choral Conducting,1-3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization:  Choral Conducting ,,,Choose8 - 9 Credit(s).,NPL,560,NPL 560,Administering Cultural Organizations,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization:  Choral Conducting ,,,Choose8 - 9 Credit(s).,NPL,586,NPL 586,Fundraising for Nonprofits,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization:  Choral Conducting ,,,Choose8 - 9 Credit(s).,NPL,588,NPL 588,Financial Management for Nonprofits,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization:  Choral Conducting ,,,Choose8 - 9 Credit(s).,NPL,673,NPL 673,Nonprofit Management and Leadership,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  6 Credit(s).,MUSC,551,MUSC 551,Vocal Literature,2,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  6 Credit(s).,MUSC,553,MUSC 553,Diction for Singers,2,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  6 Credit(s).,MUSC,566,MUSC 566,Applied Music Pedagogy,1-4,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  6 Credit(s).,MUSP,651,MUSP 651,Private Voice for Masters,"1,3",,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  6 Credit(s).,MUSP,655,MUSP 655,Private Piano for Masters,"1,3",,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  6 Credit(s).,MUSP,691,MUSP 691,Private Instrument for Masters,"1,3",,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  6 Credit(s).,MUSP,692,MUSP 692,Seminar in Choral Conducting,1-3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  6 Credit(s).,MUSP,694,MUSP 694,Private Instruction in Choral Conducting,1-3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  6 Credit(s).,MUSP,696,MUSP 696,Seminar in Wind Band Conducting,1,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  6 Credit(s).,MUSP,697,MUSP 697,Private Instruction in Wind Band Conducting,1-4,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  9 Credit(s).,EDLD,641,EDLD 641,Critical Race Theory in Education,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  9 Credit(s).,EDLD,646,EDLD 646,Leadership and Instruction for Race and Culture,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  9 Credit(s).,EDLD,652,EDLD 652,Responsive Leadership,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  9 Credit(s).,KSP,619,KSP 619,Using Technology in the Classroom,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  9 Credit(s).,KSP,639,KSP 639,Technology Leadership in K-12 Schools and Libraries,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  9 Credit(s).,KSP,643,KSP 643,Introduction to Instructional Design,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  9 Credit(s).,KSP,662,KSP 662,Practicum in the K-12 Environment,1-6,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  9 Credit(s).,KSP,667,KSP 667,Social Media Tools,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  9 Credit(s).,KSP,680,KSP 680,Developing the Online Learning Environment,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  9 Credit(s).,KSP,684,KSP 684,Instructional Games and Simulations,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  9 Credit(s).,KSP,687,KSP 687,Instructional Design II: Computer-Based Learning,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  9 Credit(s).,KSP,689,KSP 689,Introduction to Technology in Education,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  9 Credit(s).,KSP,693,KSP 693,Designing Online Training Technology Resources,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Music Education ,,,Choose  9 Credit(s).,NPL,586,NPL 586,Fundraising for Nonprofits,3,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Piano Performance ,,,Choose  16 Credit(s).,MUSC,566,MUSC 566,Applied Music Pedagogy,1-4,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Piano Performance ,,,Choose  16 Credit(s).,MUSP,601,MUSP 601,Ensemble Practicum,1-4,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Piano Performance ,,,Choose  16 Credit(s).,MUSP,655,MUSP 655,Private Piano for Masters,"1,3",,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Piano Performance ,,,Choose  2 Credit(s).,MUSP,698,MUSP 698,Graduate Capstone Project or Recital	,1-6,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Wind Band Conducting ,,,Choose  7 Credit(s).,MUSP,601,MUSP 601,Ensemble Practicum,1-4,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Wind Band Conducting ,,,Choose  7 Credit(s).,MUSP,697,MUSP 697,Private Instruction in Wind Band Conducting,1-4,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Wind Band Conducting ,,,Choose8 - 9 Credit(s).,MUSC,566,MUSC 566,Applied Music Pedagogy,1-4,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Wind Band Conducting ,,,Choose8 - 9 Credit(s).,MUSC,605,MUSC 605,Wind Band Literature,2,,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Wind Band Conducting ,,,Choose8 - 9 Credit(s).,MUSP,661,MUSP 661,Private Trumpet for Masters,"1,3",,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Wind Band Conducting ,,,Choose8 - 9 Credit(s).,MUSP,662,MUSP 662,Private Horn for Masters,"1,3",,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Wind Band Conducting ,,,Choose8 - 9 Credit(s).,MUSP,663,MUSP 663,Private Trombone for Masters,"1,3",,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Wind Band Conducting ,,,Choose8 - 9 Credit(s).,MUSP,664,MUSP 664,Private Euphonium for Masters,"1,3",,,
Music,MM,Music - MM,284,34,,Graduate,2024-2025,Restricted Electives,Specialization: Wind Band Conducting ,,,Choose8 - 9 Credit(s).,MUSP,665,MUSP 665,Private Tuba for Masters,"1,3",,,
