ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Common Core,,,,,MUSC,500,MUSC 500,Graduate Music Entrepreneurship,3,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Common Core,,,,,MUSC,566,MUSC 566,Applied Music Pedagogy,2,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Common Core,,,,,MUSC,567,MUSC 567,Applied Music Literature,3,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Common Core,,,,,MUSP,698,MUSP 698,Graduate Capstone Project or Recital	,2,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Emphasis Restricted Electives,,,Piano ,Choose  12 Credit(s).,MUSP,655,MUSP 655,Private Piano for Masters,"1,3",,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Restricted Electives,,,Ensemble Practicum ,Choose  2 Credit(s).,MUSP,601,MUSP 601,Ensemble Practicum,1-4,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Restricted Electives,,,Music History ,Choose  3 Credit(s).,MUSC,502,MUSC 502,Music of the Renaissance,3,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Restricted Electives,,,Music History ,Choose  3 Credit(s).,MUSC,503,MUSC 503,Music of the Baroque Era,3,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Restricted Electives,,,Music History ,Choose  3 Credit(s).,MUSC,504,MUSC 504,Music of the Classic Period,3,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Restricted Electives,,,Music History ,Choose  3 Credit(s).,MUSC,505,MUSC 505,Music of the 19th Century,3,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Restricted Electives,,,Music History ,Choose  3 Credit(s).,MUSC,506,MUSC 506,Music of the Modern Era,3,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Restricted Electives,,,Music History ,Choose  3 Credit(s).,MUSC,507,MUSC 507,Music of the World,3,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Restricted Electives,,,Music History ,Choose  3 Credit(s).,MUSC,508,MUSC 508,Women in Music,3,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Restricted Electives,,,Music History ,Choose  3 Credit(s).,MUSC,509,MUSC 509,Music Travel Tour,3,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Restricted Electives,,,Music Theory ,Choose  3 Credit(s).,MUSC,511,MUSC 511,Form and Analysis,3,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Restricted Electives,,,Music Theory ,Choose  3 Credit(s).,MUSC,514,MUSC 514,Arranging (instrumentation/orchestration),3,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Restricted Electives,,,Music Theory ,Choose  3 Credit(s).,MUSC,515,MUSC 515,Choral Arranging,2,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Restricted Electives,,,Music Theory ,Choose  3 Credit(s).,MUSC,516,MUSC 516,Contrapuntal Techniques,3,,,
Music,MM,Music - MM,284,34,Performance,Graduate,2024-2025,Restricted Electives,,,Piano ,Choose  12 Credit(s).,MUSP,655,MUSP 655,Private Piano for Masters,"1,3",,,
