ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Non-Profit Leadership,CERT,Non-Profit Leadership - CERT,6359,18,,Undergraduate,2024-2025,Major Common Core,,,,,NPL,273,NPL 273,Introduction to the Nonprofit Sector,3,,,
Non-Profit Leadership,CERT,Non-Profit Leadership - CERT,6359,18,,Undergraduate,2024-2025,Major Common Core,,,,,NPL,473,NPL 473,Advanced Workshop in Nonprofit Leadership,3,,,
Non-Profit Leadership,CERT,Non-Profit Leadership - CERT,6359,18,,Undergraduate,2024-2025,Major Restricted Electives,,,Financial Management and Development ,Choose  3 Credit(s).,NPL,486,NPL 486,Fundraising for Nonprofits,3,,,
Non-Profit Leadership,CERT,Non-Profit Leadership - CERT,6359,18,,Undergraduate,2024-2025,Major Restricted Electives,,,Financial Management and Development ,Choose  3 Credit(s).,NPL,488,NPL 488,Financial Management for Nonprofits,3,,,
Non-Profit Leadership,CERT,Non-Profit Leadership - CERT,6359,18,,Undergraduate,2024-2025,Major Restricted Electives,,,Financial Management and Development ,Choose  3 Credit(s).,RPLS,465,RPLS 465,Event Planning and Design,3,,,
Non-Profit Leadership,CERT,Non-Profit Leadership - CERT,6359,18,,Undergraduate,2024-2025,Major Restricted Electives,,,Financial Management and Development ,Choose  3 Credit(s).,RPLS,473,RPLS 473,Recreation Management II-Fiscal Resources,3,"RPLS 272, RPLS 373, or with instructor permission. Upper division prerequisites can be taken concurrently with instructor permission.",,
Non-Profit Leadership,CERT,Non-Profit Leadership - CERT,6359,18,,Undergraduate,2024-2025,Major Restricted Electives,,,Financial Management and Development ,Choose  3 Credit(s).,URBS,453,URBS 453,Grants Administration,3,,,
Non-Profit Leadership,CERT,Non-Profit Leadership - CERT,6359,18,,Undergraduate,2024-2025,Major Restricted Electives,,,Internship A three (3) credit internship with a qualifying nonprofit organization is required. The internship must be developed under the guidance of the Director of Nonprofit Leadership.,Choose  3 Credit(s).,GWS,498,GWS 498,Internship: Community,1-6,,,
Non-Profit Leadership,CERT,Non-Profit Leadership - CERT,6359,18,,Undergraduate,2024-2025,Major Restricted Electives,,,Internship A three (3) credit internship with a qualifying nonprofit organization is required. The internship must be developed under the guidance of the Director of Nonprofit Leadership.,Choose  3 Credit(s).,NPL,497,NPL 497,Internship: Nonprofit Leadership,3,,,
Non-Profit Leadership,CERT,Non-Profit Leadership - CERT,6359,18,,Undergraduate,2024-2025,Major Restricted Electives,,,Internship A three (3) credit internship with a qualifying nonprofit organization is required. The internship must be developed under the guidance of the Director of Nonprofit Leadership.,Choose  3 Credit(s).,RPLS,497,RPLS 497,Internship,1-8,,,
Non-Profit Leadership,CERT,Non-Profit Leadership - CERT,6359,18,,Undergraduate,2024-2025,Major Restricted Electives,,,Internship A three (3) credit internship with a qualifying nonprofit organization is required. The internship must be developed under the guidance of the Director of Nonprofit Leadership.,Choose  3 Credit(s).,SOC,497,SOC 497,Internship: Sociology,1-12, Consent ,,
Non-Profit Leadership,CERT,Non-Profit Leadership - CERT,6359,18,,Undergraduate,2024-2025,Major Restricted Electives,,,Internship A three (3) credit internship with a qualifying nonprofit organization is required. The internship must be developed under the guidance of the Director of Nonprofit Leadership.,Choose  3 Credit(s).,SOWK,497,SOWK 497,Internship: Social Work,1-10,,,
Non-Profit Leadership,CERT,Non-Profit Leadership - CERT,6359,18,,Undergraduate,2024-2025,Major Restricted Electives,,,Internship A three (3) credit internship with a qualifying nonprofit organization is required. The internship must be developed under the guidance of the Director of Nonprofit Leadership.,Choose  3 Credit(s).,URBS,497,URBS 497,Internship,1-12, Consent ,,
Non-Profit Leadership,CERT,Non-Profit Leadership - CERT,6359,18,,Undergraduate,2024-2025,Major Restricted Electives,,,Program Administration ,Choose  3 Credit(s).,NPL,460,NPL 460,Administering Cultural Organizations,3,,,
Non-Profit Leadership,CERT,Non-Profit Leadership - CERT,6359,18,,Undergraduate,2024-2025,Major Restricted Electives,,,Program Administration ,Choose  3 Credit(s).,RPLS,483,RPLS 483,Personnel Leadership in RPLS,3,,,
