ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Common Core,,,,,NPL,673,Nonprofit Management and Leadership,3,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Restricted Electives,,,Financial Management and Development ,Choose  3 Credit(s).,NPL,586,Fundraising for Nonprofits,3,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Restricted Electives,,,Financial Management and Development ,Choose  3 Credit(s).,NPL,588,Financial Management for Nonprofits,3,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Restricted Electives,,,Financial Management and Development ,Choose  3 Credit(s).,RPLS,565,Event Management,3,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Restricted Electives,,,Financial Management and Development ,Choose  3 Credit(s).,RPLS,573,Recreation Management II-Fiscal Resources,3,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Restricted Electives,,,Financial Management and Development ,Choose  3 Credit(s).,URBS,553,Grants Administration,3,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Restricted Electives,,,Program Administration ,Choose  3 Credit(s).,NPL,560,Administering Cultural Organizations,3,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Restricted Electives,,,Program Administration ,Choose  3 Credit(s).,RPLS,583,Recreation Management III: Human Resources,3,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Restricted Electives,,,Program Administration ,Choose  3 Credit(s).,SOC,517,Program Administration,3,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Restricted Electives,,,Program Planning and Evaluation ,Choose  3 Credit(s).,GWS,600,Collective Action,3,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Restricted Electives,,,Program Planning and Evaluation ,Choose  3 Credit(s).,SOC,566,Program Planning and Evaluation,3,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Restricted Electives,,,Program Planning and Evaluation ,Choose  3 Credit(s).,URBS,513,Urban Program Evaluation,3,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Capstone Course,,,Required Internship ,Choose  3 Credit(s).,GWS,698,Community Internship,1-6,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Capstone Course,,,Required Internship ,Choose  3 Credit(s).,NPL,697,Internship: Nonprofit Leadership,3,NPL 673,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Capstone Course,,,Required Internship ,Choose  3 Credit(s).,RPLS,697,Internship,1-6,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Capstone Course,,,Required Internship ,Choose  3 Credit(s).,SOC,695,Internship: Human Services,1-6,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Capstone Course,,,Required Internship ,Choose  3 Credit(s).,SOC,697,Internship: Sociology,1-12,,,,
Nonprofit Leadership,GC,Nonprofit Leadership - GC,7508,15,Graduate,2024-2025,Capstone Course,,,Required Internship ,Choose  3 Credit(s).,SOWK,697,Internship: Social Work,1-10,,,,
