ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
"Philosophy, Politics and Economics",BA,"Philosophy, Politics and Economics - BA",6279,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,POL,311,POL 311,Ancient & Medieval Political Philosophy,4,,,
"Philosophy, Politics and Economics",BA,"Philosophy, Politics and Economics - BA",6279,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,POL,312,POL 312,Early Modern Political Philosophy,4,,,
"Philosophy, Politics and Economics",BA,"Philosophy, Politics and Economics - BA",6279,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,POL,313,POL 313,Modern Political Philosophy,4,,,
"Philosophy, Politics and Economics",BA,"Philosophy, Politics and Economics - BA",6279,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,POL,321,POL 321,Democracy and Citizenship,4,,POL 322,
"Philosophy, Politics and Economics",BA,"Philosophy, Politics and Economics - BA",6279,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,POL,361,POL 361,Public Budgeting,4,,,
"Philosophy, Politics and Economics",BA,"Philosophy, Politics and Economics - BA",6279,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,POL,410,POL 410,Topics in Political Philosophy,1-4,,,
"Philosophy, Politics and Economics",BA,"Philosophy, Politics and Economics - BA",6279,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,POL,414,POL 414,Early United States Political Thought,4,,,
"Philosophy, Politics and Economics",BA,"Philosophy, Politics and Economics - BA",6279,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,POL,415,POL 415,Recent United States Political Thought,4,,,
"Philosophy, Politics and Economics",BA,"Philosophy, Politics and Economics - BA",6279,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,POL,420,POL 420,Topics in Participation and Behavior,1-4,,,
"Philosophy, Politics and Economics",BA,"Philosophy, Politics and Economics - BA",6279,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,POL,422,POL 422,Campaigns & Elections,4,,,
"Philosophy, Politics and Economics",BA,"Philosophy, Politics and Economics - BA",6279,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,POL,423,POL 423,Political Parties,4,,,
"Philosophy, Politics and Economics",BA,"Philosophy, Politics and Economics - BA",6279,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,POL,424,POL 424,Women & Politics,4,,,
