ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Common Core,,,,,PHIL,334W,History of Philosophy: Classical Philosophy,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Common Core,,,,,PHIL,336W,History of Philosophy: Renaissance and Modern Philosophy,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Common Core,,,Logic Requirement ,Choose  3 Credit(s).,PHIL,110,Logic and Critical Thinking,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Common Core,,,Logic Requirement ,Choose  3 Credit(s).,PHIL,311,Symbolic Logic,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 1: History of Philosophy Each course can fulfill only one cluster requirement.,Choose  3 Credit(s).,PHIL,337,19th Century Philosophy,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 1: History of Philosophy Each course can fulfill only one cluster requirement.,Choose  3 Credit(s).,PHIL,358W,Topics in Asian Philosophy,3,,,Purple,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 1: History of Philosophy Each course can fulfill only one cluster requirement.,Choose  3 Credit(s).,PHIL,361,Philosophy of Religion,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 1: History of Philosophy Each course can fulfill only one cluster requirement.,Choose  3 Credit(s).,PHIL,400,The Philosophy of Immanuel Kant,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 1: History of Philosophy Each course can fulfill only one cluster requirement.,Choose  3 Credit(s).,PHIL,405,The Philosophy of Ludwig Wittgenstein,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 1: History of Philosophy Each course can fulfill only one cluster requirement.,Choose  3 Credit(s).,PHIL,437,Contemporary Philosophy,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 1: History of Philosophy Each course can fulfill only one cluster requirement.,Choose  3 Credit(s).,PHIL,455,Existentialism & Phenomenology,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,"Cluster 2: Language, Epistemology, Metaphysics, and Mind Each course can fulfill only one cluster requirement.",Choose  6 Credit(s).,PHIL,358W,Topics in Asian Philosophy,3,,,Purple,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,"Cluster 2: Language, Epistemology, Metaphysics, and Mind Each course can fulfill only one cluster requirement.",Choose  6 Credit(s).,PHIL,361,Philosophy of Religion,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,"Cluster 2: Language, Epistemology, Metaphysics, and Mind Each course can fulfill only one cluster requirement.",Choose  6 Credit(s).,PHIL,410,Philosophy of Language,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,"Cluster 2: Language, Epistemology, Metaphysics, and Mind Each course can fulfill only one cluster requirement.",Choose  6 Credit(s).,PHIL,420,Epistemology,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,"Cluster 2: Language, Epistemology, Metaphysics, and Mind Each course can fulfill only one cluster requirement.",Choose  6 Credit(s).,PHIL,430,Metaphysics,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,"Cluster 2: Language, Epistemology, Metaphysics, and Mind Each course can fulfill only one cluster requirement.",Choose  6 Credit(s).,PHIL,437,Contemporary Philosophy,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,"Cluster 2: Language, Epistemology, Metaphysics, and Mind Each course can fulfill only one cluster requirement.",Choose  6 Credit(s).,PHIL,475,Philosophical Issues in Cognitive Science,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,"Cluster 2: Language, Epistemology, Metaphysics, and Mind Each course can fulfill only one cluster requirement.",Choose  6 Credit(s).,PHIL,476,Philosophy of Perception,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,"Cluster 2: Language, Epistemology, Metaphysics, and Mind Each course can fulfill only one cluster requirement.",Choose  6 Credit(s).,PHIL,477,Animal Minds,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 3: Philosophy of Science Each course can fulfill only one cluster requirement.,Choose  3 Credit(s).,PHIL,112W,Scientific Reasoning,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 3: Philosophy of Science Each course can fulfill only one cluster requirement.,Choose  3 Credit(s).,PHIL,475,Philosophical Issues in Cognitive Science,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 3: Philosophy of Science Each course can fulfill only one cluster requirement.,Choose  3 Credit(s).,PHIL,480,Philosophy of Science,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 3: Philosophy of Science Each course can fulfill only one cluster requirement.,Choose  3 Credit(s).,PHIL,481,Philosophy of Biology,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 4: Ethics and Social and Political Philosophy At least 3 credits must be 300-400 level.  Each course can fulfill only one cluster requirement.,Choose  6 Credit(s).,PHIL,115W,"Philosophy of Race, Class and Gender",3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 4: Ethics and Social and Political Philosophy At least 3 credits must be 300-400 level.  Each course can fulfill only one cluster requirement.,Choose  6 Credit(s).,PHIL,120W,Introduction to Ethics,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 4: Ethics and Social and Political Philosophy At least 3 credits must be 300-400 level.  Each course can fulfill only one cluster requirement.,Choose  6 Credit(s).,PHIL,205W,"Culture, Identity, and Diversity",3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 4: Ethics and Social and Political Philosophy At least 3 credits must be 300-400 level.  Each course can fulfill only one cluster requirement.,Choose  6 Credit(s).,PHIL,222W,Medical Ethics,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 4: Ethics and Social and Political Philosophy At least 3 credits must be 300-400 level.  Each course can fulfill only one cluster requirement.,Choose  6 Credit(s).,PHIL,224W,Business Ethics,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 4: Ethics and Social and Political Philosophy At least 3 credits must be 300-400 level.  Each course can fulfill only one cluster requirement.,Choose  6 Credit(s).,PHIL,226W,Environmental Ethics,3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 4: Ethics and Social and Political Philosophy At least 3 credits must be 300-400 level.  Each course can fulfill only one cluster requirement.,Choose  6 Credit(s).,PHIL,240W,"Law, Justice & Society",3,,,,
Philosophy,BA,Philosophy - BA,300,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cluster 4: Ethics and Social and Political Philosophy At least 3 credits must be 300-400 level.  Each course can fulfill only one cluster requirement.,Choose  6 Credit(s).,PHIL,321W,Social & Political Philosophy,3,,,,
