ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Required General Education,,,,,FCS,140,Introduction to Nutrition,3,,,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Required General Education,,,,,HLTH,101,Health and the Environment,3,,,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Required General Education,,,,,HLTH,210,Emergency Medical Responder First Aid & CPR,3,,,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Required General Education,,,,,HLTH,240,Drug Education,3,,,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Required General Education,,,,,HP,295,Fundamentals of Physical Education Activities,3,,,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Required General Education,,,,,KSP,220W,Human Relations in a Multicultural Society,3,,,Gold,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Required General Education,,,,,PSYC,101,Introduction to Psychological Science,4,,,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,201,Introduction to Teaching Physical Education,3,,HP 295,,HP 295
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,313,Lifespan Motor Development,3,,,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,330,MN PE Standards & Benchmarks,2,"HP 202, HP 295",,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,331,Game Forms I,2,"HP 201, HP 295",,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,332,Game Forms II,2,"HP 201, HP 295",,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,333,Introduction to Developmental Adapted Physical Education,3,,,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,334,Game Forms III,2,"HP 201, HP 295",,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,388,Assessment in General Phys Educ & DAPE,3,"HP 295, HP 313, HP 333",HP 411,,HP 411
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,425,Developmental Adapted Physical Education Methods,3,"HP 313, HP 333",,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,426,Physical Education Teaching Styles,3,"HP 201, HP 295, HP 330",,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,427,Applied Movement Principles,3,Majors only,,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,428,Collaboration in Developmental Adapted Physical Education,3,"HP 333, HP 388",,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,429,Developmental Adapted Physical Education Community of Practice,3,"HP 388, HP 425",,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,430,Applied Behavior Analysis in Physical Education,3,,,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,449,K-12 Teaching Methods in Physical Education,3,"HP 201, HP 295, HP 388",HP 450,,HP 450
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,450,K-12 Teaching Physical Education Practicum,1,"HP 201, HP 295, HP 388",HP 449,,HP 449
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,HP,460,Curriculum Design in Physical Education,3,"HP 449, HP 450",,,
Physical Education & Developmental Adapted Phy Ed,BS,Physical Education & Developmental Adapted Phy Ed - BS,202019176,120,Undergraduate,2024-2025,Major Common Core,,,,,SPED,405,Individuals with Exceptional Needs,3,,,,
