ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Physics Teaching,BS,Physics Teaching - BS,2524,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,106,BIOL 106,General Biology II,4,,,
Physics Teaching,BS,Physics Teaching - BS,2524,120,,Undergraduate,2024-2025,Major Common Core,,,,,GEOL,310,GEOL 310,Earth and Space Systems,3," AST 101, CHEM 201, GEOL 121 ",,
Physics Teaching,BS,Physics Teaching - BS,2524,120,,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,211,PHYS 211,Principles of Physics I,4,"Either MATH 112 and MATH 113, or MATH 115",,
Physics Teaching,BS,Physics Teaching - BS,2524,120,,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,212,PHYS 212,Principles of Physics II,4, PHYS 211 ,,
Physics Teaching,BS,Physics Teaching - BS,2524,120,,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,335,PHYS 335,Modern Physics I,3, MATH 122; (PHYS 222 and concurrently with PHYS 223) or PHYS 212. ,,
Physics Teaching,BS,Physics Teaching - BS,2524,120,,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,336,PHYS 336,Modern Physics II,3, PHYS 335 ,,
Physics Teaching,BS,Physics Teaching - BS,2524,120,,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,465,PHYS 465,Computer Applications in Physics,3,"CIS 121, MATH 122. Select one PHYS 222 or PHYS 223",,
Physics Teaching,BS,Physics Teaching - BS,2524,120,,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,482,PHYS 482,Teaching Methods and Materials in Physical Science,4," one year of chemistry and one year of physics, or consent ",,
Physics Teaching,BS,Physics Teaching - BS,2524,120,,Undergraduate,2024-2025,Major Common Core,,, 2 credits are required for the core.  ,Choose  2 Credit(s).,PHYS,381,PHYS 381,Tutoring Physics,1-3, Consent ,,
Physics Teaching,BS,Physics Teaching - BS,2524,120,,Undergraduate,2024-2025,Major Common Core,,, 2 credits are required for the core.,Choose  2 Credit(s).,PHYS,493,PHYS 493,Undergraduate Research,1-6, Consent ,,
Physics Teaching,BS,Physics Teaching - BS,2524,120,,Undergraduate,2024-2025,Required General Education,,,,,AST,101,AST 101,Introduction to Astronomy,3,,,
Physics Teaching,BS,Physics Teaching - BS,2524,120,,Undergraduate,2024-2025,Required General Education,,,,,BIOL,105,BIOL 105,General Biology I,4,,,
Physics Teaching,BS,Physics Teaching - BS,2524,120,,Undergraduate,2024-2025,Required General Education,,,,,CHEM,201,CHEM 201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,
Physics Teaching,BS,Physics Teaching - BS,2524,120,,Undergraduate,2024-2025,Required General Education,,,,,GEOL,121,GEOL 121,Physical Geology,4,,,
Physics Teaching,BS,Physics Teaching - BS,2524,120,,Undergraduate,2024-2025,Required General Education,,,,,HLTH,240,HLTH 240,Drug Education,3,,,
