ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,,,CJ,101,Introduction to Criminal Justice Systems,3,,,Purple,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,,,CJ,255,Juvenile Delinquency & Justice,3,,,Purple,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,,,POL,111,United States Government,4,,,,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,,,SOC,101,Introduction to Sociology,4,,,Purple,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Human Relations Must complete at least one course,Choose3 - 4 Credit(s).,ANTH,240,Language and Culture,4,,,Purple,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Human Relations Must complete at least one course,Choose3 - 4 Credit(s).,CDIS,205,Beginning American Sign Language - Level I,3,,,,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Human Relations Must complete at least one course,Choose3 - 4 Credit(s).,COMM,203,Intercultural Communication,4,,,Purple,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Human Relations Must complete at least one course,Choose3 - 4 Credit(s).,ETHN,100,American Racial Minorities,3,,,Purple,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Human Relations Must complete at least one course,Choose3 - 4 Credit(s).,ETHN,101,Introduction to Multicultural & Ethnic Studies,3,,,Purple,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Human Relations Must complete at least one course,Choose3 - 4 Credit(s).,GEOG,103,Introductory Cultural Geography,3,,,Purple,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Human Relations Must complete at least one course,Choose3 - 4 Credit(s).,GWS,110,Introduction to Gender,4,,,Purple,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Human Relations Must complete at least one course,Choose3 - 4 Credit(s).,GWS,110W,Introduction to Gender,4,,,Purple,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Human Relations Must complete at least one course,Choose3 - 4 Credit(s).,HUM,281W,Human Diversity and Humanities Traditions,4,,,Purple,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Human Relations Must complete at least one course,Choose3 - 4 Credit(s).,PSYC,219,Psychology of Diversity and Inclusion,4,,,,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Human Relations Must complete at least one course,Choose3 - 4 Credit(s).,SOC,208,Families in Society,4,,,Purple,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice in Society Must complete at least one course,Choose3 - 4 Credit(s).,AIS,101,Introduction to American Indigenous Studies,3,,,,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice in Society Must complete at least one course,Choose3 - 4 Credit(s).,AIS,210W,Oral Traditions,3,,,Purple,
Policing Studies,BS,Policing Studies - BS,208,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice in Society Must complete at least one course,Choose3 - 4 Credit(s).,AIS,220W,Introduction to Tribal Sovereignty,3,,,Purple,
