ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Policing Studies,CERT,Policing Studies - CERT,201698819,27,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,202,CJ 202,Community Relations and Peacekeeping,3,,,
Policing Studies,CERT,Policing Studies - CERT,201698819,27,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,231,CJ 231,Criminal Law & Procedures,4,,,
Policing Studies,CERT,Policing Studies - CERT,201698819,27,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,232,CJ 232,"Minnesota Laws, Rules, and Statutes",3,,,
Policing Studies,CERT,Policing Studies - CERT,201698819,27,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,233,CJ 233,Criminal Investigation,3,,,
Policing Studies,CERT,Policing Studies - CERT,201698819,27,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,242,CJ 242,Peace Officers and Human Behavior,3,,,
Policing Studies,CERT,Policing Studies - CERT,201698819,27,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,255,CJ 255,Juvenile Delinquency & Justice,3,,,Purple
Policing Studies,CERT,Policing Studies - CERT,201698819,27,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,322,CJ 322,Peacekeeping in a Diverse Society I,3,,,Purple
Policing Studies,CERT,Policing Studies - CERT,201698819,27,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,332W,CJ 332W,Peace Officer Communication Techniques,3,,,
Policing Studies,CERT,Policing Studies - CERT,201698819,27,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,371,CJ 371,Criminal Justice Community Experiences,1,,,
Policing Studies,CERT,Policing Studies - CERT,201698819,27,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,433,CJ 433,Peace Officer Senior Seminar,1,,,
