ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Common Core,,,,,COMM,610,COMM 610,Theory and Practice of Mass Media,3,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Common Core,,,,,COMM,634,COMM 634,Public Relations Management,3,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Common Core,,,,,ENG,665,ENG 665,Foundations of Technical Communication,3,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Restricted Electives,,,"Communication Studies * COMM 510, COMM 515, and COMM 640 require permission from the Graduate Coordinator in Communication & Media.",Choose  6 Credit(s).,COMM,505,COMM 505,Strategic Advocacy Campaigns,3,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Restricted Electives,,,"Communication Studies * COMM 510, COMM 515, and COMM 640 require permission from the Graduate Coordinator in Communication & Media.",Choose  6 Credit(s).,COMM,510,COMM 510,Topics in Relational Communication,1-3,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Restricted Electives,,,"Communication Studies * COMM 510, COMM 515, and COMM 640 require permission from the Graduate Coordinator in Communication & Media.",Choose  6 Credit(s).,COMM,512,COMM 512,Organizational Communication,3,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Restricted Electives,,,"Communication Studies * COMM 510, COMM 515, and COMM 640 require permission from the Graduate Coordinator in Communication & Media.",Choose  6 Credit(s).,COMM,515,COMM 515,Topics in Rhetoric and Culture,1-3,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Restricted Electives,,,"Communication Studies * COMM 510, COMM 515, and COMM 640 require permission from the Graduate Coordinator in Communication & Media.",Choose  6 Credit(s).,COMM,525,COMM 525,Crisis Communication,3,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Restricted Electives,,,"Communication Studies * COMM 510, COMM 515, and COMM 640 require permission from the Graduate Coordinator in Communication & Media.",Choose  6 Credit(s).,COMM,530,COMM 530,Social Movements and Advocacy,3,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Restricted Electives,,,"Communication Studies * COMM 510, COMM 515, and COMM 640 require permission from the Graduate Coordinator in Communication & Media.",Choose  6 Credit(s).,COMM,532,COMM 532,Grassroots Advocacy and Organizing,3,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Restricted Electives,,,"Communication Studies * COMM 510, COMM 515, and COMM 640 require permission from the Graduate Coordinator in Communication & Media.",Choose  6 Credit(s).,COMM,545,COMM 545,Conflict Management,3,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Restricted Electives,,,"Communication Studies * COMM 510, COMM 515, and COMM 640 require permission from the Graduate Coordinator in Communication & Media.",Choose  6 Credit(s).,COMM,604,COMM 604,Communication Training and Development,3,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Restricted Electives,,,"Communication Studies * COMM 510, COMM 515, and COMM 640 require permission from the Graduate Coordinator in Communication & Media.",Choose  6 Credit(s).,COMM,640,COMM 640,Special Topics,1-3,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Restricted Electives,,,"Communication Studies * COMM 510, COMM 515, and COMM 640 require permission from the Graduate Coordinator in Communication & Media.",Choose  6 Credit(s).,COMM,673,COMM 673,Social Media Theory and Criticism,3,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Restricted Electives,,,Technical Communication  ,Choose3 - 4 Credit(s).,ENG,567,ENG 567,International Technical Communication,1-4,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Restricted Electives,,,Technical Communication  ,Choose3 - 4 Credit(s).,ENG,571,ENG 571,Visual Technical Communication,3,,,
Professional Communication,GC,Professional Communication - GC,7541,18,,Graduate,2024-2025,Restricted Electives,,,Technical Communication  ,Choose3 - 4 Credit(s).,ENG,680,ENG 680,Proposals,1-3,,,
