ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Project-based Engineering,CERT,Project-based Engineering - CERT,200303163,15,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,492,ENGR 492,Seminar,1,,,
Project-based Engineering,CERT,Project-based Engineering - CERT,200303163,15,,Undergraduate,2024-2025,Major Common Core,,,Engineering Design Students with junior standing in an engineering program will take ENGR 301. Students with senior standing or an earned engineering bachelors degree will take ENGR 401.,Choose  3 Credit(s).,ENGR,301,ENGR 301,Design I,3,,,
Project-based Engineering,CERT,Project-based Engineering - CERT,200303163,15,,Undergraduate,2024-2025,Major Common Core,,,Engineering Design Students with junior standing in an engineering program will take ENGR 301. Students with senior standing or an earned engineering bachelors degree will take ENGR 401.,Choose  3 Credit(s).,ENGR,401,ENGR 401,Capstone Design I,3," ENGR 302, ENGR 312W. At least 14 credits earned in technical competencies. ",,
Project-based Engineering,CERT,Project-based Engineering - CERT,200303163,15,,Undergraduate,2024-2025,Major Common Core,,,Professionalism Students with junior standing in an engineering program will take ENGR 311W. Students with senior standing or an earned engineering bachelors degree will take ENGR 411W.,Choose  3 Credit(s).,ENGR,311W,ENGR 311W,Professionalism I,3,,,
Project-based Engineering,CERT,Project-based Engineering - CERT,200303163,15,,Undergraduate,2024-2025,Major Common Core,,,Professionalism Students with junior standing in an engineering program will take ENGR 311W. Students with senior standing or an earned engineering bachelors degree will take ENGR 411W.,Choose  3 Credit(s).,ENGR,411W,ENGR 411W,Professionalism III,3, ENGR 312W,,
Project-based Engineering,CERT,Project-based Engineering - CERT,200303163,15,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,ENGR,321,ENGR 321,Engineering Core: Statistics,1,"Admission to major, minor or certificate programs.",,
Project-based Engineering,CERT,Project-based Engineering - CERT,200303163,15,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,ENGR,322,ENGR 322,Engineering Core: Programming/Modeling,1,"Admission to major, minor or certificate programs.",,
Project-based Engineering,CERT,Project-based Engineering - CERT,200303163,15,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,ENGR,331,ENGR 331,Mechanical Core: Dynamic Systems,1,Admission to program.,,
Project-based Engineering,CERT,Project-based Engineering - CERT,200303163,15,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,ENGR,332,ENGR 332,Mechanical Core: Fluid Mechanics,1,Admission to program.,,
Project-based Engineering,CERT,Project-based Engineering - CERT,200303163,15,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,ENGR,333,ENGR 333,Mechanical Core: Manufacturing Processes,1,Admission to program.,,
Project-based Engineering,CERT,Project-based Engineering - CERT,200303163,15,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,ENGR,334,ENGR 334,Mechanical Core: Material Science,1,Admission to program.,,
Project-based Engineering,CERT,Project-based Engineering - CERT,200303163,15,,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,,ENGR,335,ENGR 335,Mechanical Core: Mechanics of Materials,1,Admission to program.,,
