ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Public Administration and Community Management,MA,Public Administration and Community Management - MA,1151,36,,Graduate,2024-2025,Common Core,,,,,URBS,501,URBS 501,Foundations in Urban Management and Planning,3,,,
Public Administration and Community Management,MA,Public Administration and Community Management - MA,1151,36,,Graduate,2024-2025,Common Core,,,,,URBS,502,URBS 502,Urban Analysis,3,,,
Public Administration and Community Management,MA,Public Administration and Community Management - MA,1151,36,,Graduate,2024-2025,Common Core,,,,,URBS,600,URBS 600,Research Methods,3,,,
Public Administration and Community Management,MA,Public Administration and Community Management - MA,1151,36,,Graduate,2024-2025,Common Core,,,,,URBS,668,URBS 668,Urban Studies Studio,3,,,
Public Administration and Community Management,MA,Public Administration and Community Management - MA,1151,36,,Graduate,2024-2025,Common Core,,,,,URBS,696,URBS 696,Internship,3,,,
Public Administration and Community Management,MA,Public Administration and Community Management - MA,1151,36,,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,URBS,512,URBS 512,Public Information and Involvement,3,,,
Public Administration and Community Management,MA,Public Administration and Community Management - MA,1151,36,,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,URBS,611,URBS 611,Public Leadership and Management,3,,,
Public Administration and Community Management,MA,Public Administration and Community Management - MA,1151,36,,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,URBS,612,URBS 612,Public Policy Analysis,3,,,
Public Administration and Community Management,MA,Public Administration and Community Management - MA,1151,36,,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,URBS,654,URBS 654,Organization Environment,3,,,
Public Administration and Community Management,MA,Public Administration and Community Management - MA,1151,36,,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,URBS,655,URBS 655,Administrative Services and Human Resources,3,,,
Public Administration and Community Management,MA,Public Administration and Community Management - MA,1151,36,,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,URBS,656,URBS 656,Urban Finance System and Budgeting,3,,,
