ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,100,Introduction to Recreation and Parks Leadership Studies,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,175,Natural Resources and Conservation in RPLS,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,276,Recreation Leadership,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,293,"Leisure, Recreation, Play, and Well-Being",3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,373,Operations and Facility Management in RPLS,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,376,Program Planning in RPLS,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,393W,"Advancing Diversity, Equity, and Inclusion in RPLS",3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,483,Personnel Leadership in RPLS,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,493,History and Philosophy in RPLS,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,495,Senior Internship,9.00                                    ,All required RPLS courses completed with a 'C' or better.,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,100,Introduction to Recreation and Parks Leadership Studies,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,175,Natural Resources and Conservation in RPLS,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,276,Recreation Leadership,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,293,"Leisure, Recreation, Play, and Well-Being",3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,373,Operations and Facility Management in RPLS,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,376,Program Planning in RPLS,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,393W,"Advancing Diversity, Equity, and Inclusion in RPLS",3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,483,Personnel Leadership in RPLS,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,493,History and Philosophy in RPLS,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,495,Senior Internship,9.00                                    ,All required RPLS courses completed with a 'C' or better.,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,325,Experiential Education and Outdoor Programming,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,350,Methods of Interpretation in RPLS,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,450,Therapeutic Recreation Techniques,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,460,Sustainable Tourism,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,475,Public Land Use Policies,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,476,Advanced Leadership in RPLS,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,478,Multicultural Perspectives in Outdoor Recreation,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,479,Field Techniques in Cultural and Natural Resource Management,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,481,Park Planning,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,341W,Research Methods in RPLS,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,365,Commercial Recreation and Tourism,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,451,RPLS Across the Lifespan,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,465,Event Planning and Design,3,,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,466,Event Implementation and Evaluation,3,,,,
