ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,325,RPLS 325,Experiential Education and Outdoor Programming,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,350,RPLS 350,Methods of Interpretation in RPLS,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,450,RPLS 450,Therapeutic Recreation Techniques,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,460,RPLS 460,Sustainable Tourism,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,475,RPLS 475,Public Land Use Policies,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,476,RPLS 476,Advanced Leadership in RPLS,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,478,RPLS 478,Multicultural Perspectives in Outdoor Recreation,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,479,RPLS 479,Field Techniques in Cultural and Natural Resource Management,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,481,RPLS 481,Park Planning,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,100,RPLS 100,Introduction to Recreation and Parks Leadership Studies,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,175,RPLS 175,Natural Resources and Conservation in RPLS,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,276,RPLS 276,Recreation Leadership,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,293,RPLS 293,"Leisure, Recreation, Play, and Well-Being",3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,373,RPLS 373,Operations and Facility Management in RPLS,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,376,RPLS 376,Program Planning in RPLS,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,393W,RPLS 393W,"Advancing Diversity, Equity, and Inclusion in RPLS",3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,483,RPLS 483,Personnel Leadership in RPLS,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,493,RPLS 493,History and Philosophy in RPLS,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Cultural and Natural Resource Management,Undergraduate,2024-2025,Major Common Core,,,,,RPLS,495,RPLS 495,Senior Internship,9.00                                    ,All required RPLS courses completed with a 'C' or better.,,
