ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,325,RPLS 325,Experiential Education and Outdoor Programming,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,341W,RPLS 341W,Research Methods in RPLS,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,350,RPLS 350,Methods of Interpretation in RPLS,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,365,RPLS 365,Commercial Recreation and Tourism,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,450,RPLS 450,Therapeutic Recreation Techniques,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,451,RPLS 451,RPLS Across the Lifespan,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,465,RPLS 465,Event Planning and Design,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,466,RPLS 466,Event Implementation and Evaluation,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,476,RPLS 476,Advanced Leadership in RPLS,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  12 Credit(s).,RPLS,481,RPLS 481,Park Planning,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,100,RPLS 100,Introduction to Recreation and Parks Leadership Studies,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,175,RPLS 175,Natural Resources and Conservation in RPLS,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,276,RPLS 276,Recreation Leadership,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,293,RPLS 293,"Leisure, Recreation, Play, and Well-Being",3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,373,RPLS 373,Operations and Facility Management in RPLS,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,376,RPLS 376,Program Planning in RPLS,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,393W,RPLS 393W,"Advancing Diversity, Equity, and Inclusion in RPLS",3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,483,RPLS 483,Personnel Leadership in RPLS,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,493,RPLS 493,History and Philosophy in RPLS,3,,,
Recreation and Parks Leadership Studies,BS,Recreation and Parks Leadership Studies - BS,525,120,Recreation Leadership and Management,Undergraduate,2024-2025,Major Common Core,,,Recreation and Leadership Management ,Choose  36 Credit(s).,RPLS,495,RPLS 495,Senior Internship,9.00                                    ,All required RPLS courses completed with a 'C' or better.,,
