ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Students should enroll in SOST 299, Individual Study in the subsequent semester to declaring the social studies non-teaching major.  Students will work with the social studies coordinator to define personal learning goals and objectives and begin the deve",Choose1 - 14 Credit(s).,SOST,299,SOST 299,Individual Study,1-6,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Students should enroll in SOST 299, Individual Study in the subsequent semester to declaring the social studies non-teaching major.  Students will work with the social studies coordinator to define personal learning goals and objectives and begin the deve",Choose1 - 14 Credit(s).,SOST,499,SOST 499,Individual Study,1-8,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,100,ECON 100,An Introduction to the U.S. Economy,3,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,103W,ECON 103W,The Economics of Women's Issues and Public Policy in the United States,3,,,Purple
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,201,ECON 201,Principles of Macroeconomics,3,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,202,ECON 202,Principles of Microeconomics,3,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,207,ECON 207,Business Statistics,4,MATH 112 or equivalent,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,301,ECON 301,Introduction to Mathematical Economics,3,"ECON 201, ECON 202, ECON 207, MATH 112 or equivalent",,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,305,ECON 305,Money and Banking,3, ECON 201 and ECON 202 ,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,314W,ECON 314W,Current Economic Issues,3,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,320W,ECON 320W,Gender Issues and Economic Globalization,3, ECON 201 or ECON 202,,Purple
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,355,ECON 355,Intermediate Microeconomics,3,"ECON 201, ECON 202 and ECON 301",,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,356,ECON 356,Intermediate Macroeconomics,3,"ECON 201, ECON 202 and ECON 301",,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,403,ECON 403,Labor Economics,3, ECON 201 and ECON 202 ,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,405,ECON 405,Central Banking,3, ECON 305 ,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,406,ECON 406,Economics of Unions,3, ECON 201 and ECON 202 ,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,411,ECON 411,Urban Economics,3, ECON 201 and ECON 202 ,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,412,ECON 412,Environmental & Natural Resource Economics,3, ECON 201 and ECON 202 ,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,416,ECON 416,Sports Economics,3, ECON 202 ,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,420,ECON 420,International Economics,3, ECON 201 and ECON 202 ,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,429,ECON 429,Economic Education,3,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,440,ECON 440,Public Finance,3, ECON 201 and ECON 202 ,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,450,ECON 450,Economic Development,3, ECON 201 and ECON 202 ,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,462W,ECON 462W,Econometrics,4,"ECON 201, ECON 202, and ECON 207",,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,463,ECON 463,Applied Econometrics of Financial Markets,3, ECON 207,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,472,ECON 472,Industrial Organization,3,"ECON 201, ECON 202 and ECON 207",,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,480,ECON 480,Seminar in Economics,,ECON 201 and ECON 202,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,481,ECON 481,Readings in Economics,,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,491,ECON 491,In-Service,,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,498,ECON 498,Internship,,"ECON 207, ECON 355, ECON 356",,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Economics 15 of the 24 credits must be upper-division courses.,Choose  24 Credit(s).,ECON,499,ECON 499,Individual Study,,ECON 201 and ECON 202,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,101,ANTH 101,Introduction to Anthropology,4,,,Purple
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,102,ANTH 102,Ancient Peoples,4,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,120,ANTH 120,Forensic Science: An Anthropological Approach,4,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,210,ANTH 210,Introduction to Archaeology,4,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,220,ANTH 220,Human Origins,4,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,230,ANTH 230,Peoples and Cultures of the World,4,,,Purple
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,240,ANTH 240,Language and Culture,4,,,Purple
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,245,ANTH 245,The Social Life of Swearing,4,,,Purple
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,250W,ANTH 250W,Portraits of Culture,4,,,Purple
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,260,ANTH 260,"Vampires, Werewolves, and Zombies: Folklore of Fear",4,,,Purple
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,261,ANTH 261,"Taboos, Tattoos, and T-Shirts: Culture and Body Art",4,,,Purple
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,269,ANTH 269,Anthropology of Sex,4,,,Purple
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,285,ANTH 285,Special Topics,,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,290,ANTH 290,Exploratory Studies,, Consent ,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,300,ANTH 300,Introduction to Anthropology Methods,4, ANTH 101,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,311,ANTH 311,Ancient Egypt,4,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,323,ANTH 323,Primate Behavior,4, ANTH 101 or ANTH 220 or consent,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,331,ANTH 331,Environmental Anthropology,4,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,332,ANTH 332,Anthropology of Religion,4,,,Purple
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,335,ANTH 335,People and Cultures of Sub-Saharan Africa,4,,,
Social Studies,BS,Social Studies - BS,291,120,Economics,Undergraduate,2024-2025,Major Restricted Electives,,,"Courses must be widely distributed from the social sciences and history OUTSIDE the area of concentration and/or from the interdisciplinary programs of Ethnic Studies, Gender & Women Studies and Urban Studies. Students are encouraged to take a mixture of ",Choose  26 Credit(s).,ANTH,360,ANTH 360,Business Anthropology,4,,,
