ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Geography,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Cultural Choose one of the following courses:,Choose3 - 4 Credit(s).,GEOG,425,GEOG 425,Economic Geography,3,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Geography,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Cultural Choose one of the following courses:,Choose3 - 4 Credit(s).,GEOG,435,GEOG 435,Urban Geography,3,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Geography,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Cultural Choose one of the following courses:,Choose3 - 4 Credit(s).,GEOG,436,GEOG 436,Rural Geography,3,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Geography,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Cultural Choose one of the following courses:,Choose3 - 4 Credit(s).,GEOG,437,GEOG 437,Political Geography,3,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Geography,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Cultural Choose one of the following courses:,Choose3 - 4 Credit(s).,GEOG,438,GEOG 438,Social Geography,3,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Geography,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Physical Choose one of the following courses:,Choose3 - 4 Credit(s).,GEOG,313,GEOG 313,Natural Disasters,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Geography,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Physical Choose one of the following courses:,Choose3 - 4 Credit(s).,GEOG,315,GEOG 315,Geomorphology,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Geography,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Physical Choose one of the following courses:,Choose3 - 4 Credit(s).,GEOG,410,GEOG 410,Climatic Environments,3,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Geography,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Physical Choose one of the following courses:,Choose3 - 4 Credit(s).,GEOG,411,GEOG 411,Soils Geomorphology,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Geography,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Physical Choose one of the following courses:,Choose3 - 4 Credit(s).,GEOG,412,GEOG 412,Advanced Weather,4, GEOG 217 ,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Geography,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Physical Choose one of the following courses:,Choose3 - 4 Credit(s).,GEOG,413,GEOG 413,Soil Conservation,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Geography,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Physical Choose one of the following courses:,Choose3 - 4 Credit(s).,GEOG,414,GEOG 414,Biogeography,3,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Geography,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Physical Choose one of the following courses:,Choose3 - 4 Credit(s).,GEOG,415,GEOG 415,Earth Surface Processes,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Geography,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Physical Choose one of the following courses:,Choose3 - 4 Credit(s).,GEOG,416W,GEOG 416W,Fluvial Geomorphology and Hydrology,4,Either Geog 101 or Geol 121 and Geog 315 or 415 are recommended. Or instructor consent.,,
