ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,321,POL 321,Democracy and Citizenship,4,,POL 322,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,361,POL 361,Public Budgeting,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,420,POL 420,Topics in Participation and Behavior,1-4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,422,POL 422,Campaigns & Elections,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,423,POL 423,Political Parties,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,424,POL 424,Women & Politics,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,426,POL 426,Racial and Ethnic Politics,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,427,POL 427,Political Psychology,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,460,POL 460,Topics in Public Policy/Administration,1-4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,461,POL 461,Environmental Politics,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,462,POL 462,Collective Bargaining: Public Sector,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,463,POL 463,Public Personnel Administration,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,470,POL 470,Topics in Institutions & Process,1-4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,471,POL 471,Public Opinion and Polling Methods,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,473,POL 473,United States Congress,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,474,POL 474,The Presidency of the United States,4,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Political Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,,American Politics Choose one of the following courses:,Choose3 - 4 Credit(s).,POL,476,POL 476,Southern Politics,4,,,
