ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Social Work,BSSW,Social Work - BSSW,6891,120,,Undergraduate,2024-2025,Major Common Core,,,,,SOWK,212,SOWK 212,Introduction to Social Work,4,,,
Social Work,BSSW,Social Work - BSSW,6891,120,,Undergraduate,2024-2025,Major Common Core,,,,,SOWK,215,SOWK 215,Introduction to Social Welfare Services,4,,,Purple
Social Work,BSSW,Social Work - BSSW,6891,120,,Undergraduate,2024-2025,Major Common Core,,,,,SOWK,310,SOWK 310,Human Behavior in the Social Environment,4,SOWK 212 AND  SOWK 215 OR SOWK 215W,,
Social Work,BSSW,Social Work - BSSW,6891,120,,Undergraduate,2024-2025,Major Common Core,,,,,SOWK,316,SOWK 316,Professional Skill Development in Social Work,4,"SOWK 212, SOWK 215",,
Social Work,BSSW,Social Work - BSSW,6891,120,,Undergraduate,2024-2025,Major Common Core,,,,,SOWK,410,SOWK 410,Social Welfare Policy,4,"SOWK 212, SOWK 310. Select one course from SOWK 215 or SOWK 215W.",,
Social Work,BSSW,Social Work - BSSW,6891,120,,Undergraduate,2024-2025,Major Common Core,,,,,SOWK,435,SOWK 435,Applied Social Work Research,4,"Select one course from STAT 154, PSYC 201, SPC 202, ECON 207, HLTH 475. Or other statistics course as approved by BSSW Program Advisor.",,
Social Work,BSSW,Social Work - BSSW,6891,120,,Undergraduate,2024-2025,Major Common Core,,,,,SOWK,441,SOWK 441,Generalist Social Work Practice,4,Admission to the BSSW Program/major. Permission to register given by BSSW Program.,,
Social Work,BSSW,Social Work - BSSW,6891,120,,Undergraduate,2024-2025,Major Common Core,,,,,SOWK,443,SOWK 443,Social Work Interviewing and Counseling Skills,4,SOWK 441. Permission to register given by BSSW Program.,,
Social Work,BSSW,Social Work - BSSW,6891,120,,Undergraduate,2024-2025,Major Common Core,,,,,SOWK,446,SOWK 446,Organizations and Community Practice,4,SOWK 441. Permission to register given by BSSW Program.,,
Social Work,BSSW,Social Work - BSSW,6891,120,,Undergraduate,2024-2025,Major Common Core,,,,,SOWK,450,SOWK 450,Integrative Seminar,4," SOWK Foundation, Practice Sequence, and permission", SOWK 455,
