ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Social Work,MSW,Social Work - MSW,7353,59,,Graduate,2024-2025,Capstone Course,,,,,SOWK,665,SOWK 665,Advanced Practicum and Seminar I,5,,,
Social Work,MSW,Social Work - MSW,7353,59,,Graduate,2024-2025,Capstone Course,,,,,SOWK,675,SOWK 675,Advanced Practicum and Seminar II,5,,,
Social Work,MSW,Social Work - MSW,7353,59,,Graduate,2024-2025,Research/Methods Course(s),,,,,SOWK,669,SOWK 669,Advanced Social Work Evaluation,3,,,
Social Work,MSW,Social Work - MSW,7353,59,,Graduate,2024-2025,Restricted Electives,,,Advanced Standing Core Required only for students admitted into the Advanced Standing Program (AS),,SOWK,650,SOWK 650,Advanced Standing Preparation Seminar,3,,,
Social Work,MSW,Social Work - MSW,7353,59,,Graduate,2024-2025,Restricted Electives,,,Foundation Core Required of all students admitted into the Traditional Program (TR),,SOWK,601,SOWK 601,Foundations of Generalist Social Work Practice,3,,,
Social Work,MSW,Social Work - MSW,7353,59,,Graduate,2024-2025,Restricted Electives,,,Foundation Core Required of all students admitted into the Traditional Program (TR),,SOWK,603,SOWK 603,Human Behavior in the Social Environment,3,,,
Social Work,MSW,Social Work - MSW,7353,59,,Graduate,2024-2025,Restricted Electives,,,Foundation Core Required of all students admitted into the Traditional Program (TR),,SOWK,605,SOWK 605,Social Welfare Policy and Services,3,,,
Social Work,MSW,Social Work - MSW,7353,59,,Graduate,2024-2025,Restricted Electives,,,Foundation Core Required of all students admitted into the Traditional Program (TR),,SOWK,609,SOWK 609,Culturally Responsive Communication in Social Work Practice,3,,,
Social Work,MSW,Social Work - MSW,7353,59,,Graduate,2024-2025,Restricted Electives,,,Foundation Core Required of all students admitted into the Traditional Program (TR),,SOWK,611,SOWK 611,Macro Social Work Theory and Practice,3,,,
Social Work,MSW,Social Work - MSW,7353,59,,Graduate,2024-2025,Restricted Electives,,,Foundation Core Required of all students admitted into the Traditional Program (TR),,SOWK,615,SOWK 615,Foundation Practicum and Seminar I,5,,,
