ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Capstone Course,,,Choose Thesis or APP ,Choose1 - 3 Credit(s).,SOC,694,SOC 694,Alternate Plan Paper,1-2,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Capstone Course,,,Choose Thesis or APP ,Choose1 - 3 Credit(s).,SOC,699,SOC 699,Thesis,1-3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Common Core,,,,,SOC,600,SOC 600,Proseminar,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Common Core,,,,,SOC,603,SOC 603,Seminar: Social Psychology,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Common Core,,,,,SOC,604,SOC 604,Seminar: Social Statistics,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Common Core,,,,,SOC,605,SOC 605,Seminar: Social Research,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Common Core,,,,,SOC,606,SOC 606,Seminar in Sociological Theory,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Common Core,,,,,SOC,608,SOC 608,Seminar in Social Inequality,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Restricted Electives,,, Any 500/600 level elective courses selected in consultation with an advisor.,Choose9 - 12 Credit(s).,SOC,502,SOC 502,Medical Sociology,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Restricted Electives,,, Any 500/600 level elective courses selected in consultation with an advisor.,Choose9 - 12 Credit(s).,SOC,504,SOC 504,Sociology of Aging,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Restricted Electives,,, Any 500/600 level elective courses selected in consultation with an advisor.,Choose9 - 12 Credit(s).,SOC,505,SOC 505,Sociology of Death,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Restricted Electives,,, Any 500/600 level elective courses selected in consultation with an advisor.,Choose9 - 12 Credit(s).,SOC,507,SOC 507,Population Dynamics,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Restricted Electives,,, Any 500/600 level elective courses selected in consultation with an advisor.,Choose9 - 12 Credit(s).,SOC,509,SOC 509,Family Violence,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Restricted Electives,,, Any 500/600 level elective courses selected in consultation with an advisor.,Choose9 - 12 Credit(s).,SOC,517,SOC 517,Program Administration,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Restricted Electives,,, Any 500/600 level elective courses selected in consultation with an advisor.,Choose9 - 12 Credit(s).,SOC,520,SOC 520,Identity Work in Women's Reentry Experiences,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Restricted Electives,,, Any 500/600 level elective courses selected in consultation with an advisor.,Choose9 - 12 Credit(s).,SOC,523,SOC 523,Complex Organizations,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Restricted Electives,,, Any 500/600 level elective courses selected in consultation with an advisor.,Choose9 - 12 Credit(s).,SOC,525,SOC 525,Social Movements,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Restricted Electives,,, Any 500/600 level elective courses selected in consultation with an advisor.,Choose9 - 12 Credit(s).,SOC,530,SOC 530,Sociology of Globalization,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Restricted Electives,,, Any 500/600 level elective courses selected in consultation with an advisor.,Choose9 - 12 Credit(s).,SOC,542,SOC 542,Criminology,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Restricted Electives,,, Any 500/600 level elective courses selected in consultation with an advisor.,Choose9 - 12 Credit(s).,SOC,546,SOC 546,"Race, Culture & Ethnicity",3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Restricted Electives,,, Any 500/600 level elective courses selected in consultation with an advisor.,Choose9 - 12 Credit(s).,SOC,558,SOC 558,Sociological Theory,3,,,
Sociology,MA,Sociology - MA,60,33,,Graduate,2024-2025,Restricted Electives,,, Any 500/600 level elective courses selected in consultation with an advisor.,Choose9 - 12 Credit(s).,SOC,560,SOC 560,Environmental Sociology,3,,,
