ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Prerequisites to the Major,,,Language Or other proof of language  proficiency,Choose  8 Credit(s).,SPAN,101,Elementary Spanish I,4,,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Prerequisites to the Major,,,Language Or other proof of language  proficiency,Choose  8 Credit(s).,SPAN,102,Elementary Spanish II,4,SPAN 101 or equivalent ,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Advanced Cultural Studies and Linguistics ,Choose8 - 12 Credit(s).,SPAN,401,Topics in Linguistics,1-4,Completion of 4 credits of 300 level or equivalent ,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Advanced Cultural Studies and Linguistics ,Choose8 - 12 Credit(s).,SPAN,402,Topics in Spanish Peninsular Literature,1-4,Completion of 4 credits of 300 level or equivalent ,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Advanced Cultural Studies and Linguistics ,Choose8 - 12 Credit(s).,SPAN,403W,Topics in Spanish American Literature,1-4,Completion of 4 credits of 300 level or equivalent ,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Advanced Cultural Studies and Linguistics ,Choose8 - 12 Credit(s).,SPAN,405,Topics in Hispanic Literatures,4,Completion of 4 credits of 300 -level or equivalent proficiency level.,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Advanced Cultural Studies and Linguistics ,Choose8 - 12 Credit(s).,SPAN,407,Topics in Translation,1-4,,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Advanced Cultural Studies and Linguistics ,Choose8 - 12 Credit(s).,SPAN,450,Spanish for the Professions,4,,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Advanced Cultural Studies and Linguistics ,Choose8 - 12 Credit(s).,SPAN,492,Independent Study,1-3,"Completion of eight 300-level credits, or equivalent ",,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Advanced Cultural Studies and Linguistics ,Choose8 - 12 Credit(s).,SPAN,493,Individual Study Abroad: Topics in Language and Linguistics,1-6,Two years university level Spanish ,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Advanced Cultural Studies and Linguistics ,Choose8 - 12 Credit(s).,SPAN,494,Individual Study Abroad: Topics in Spanish American Literature,1-6,Two years university level Spanish ,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Advanced Cultural Studies and Linguistics ,Choose8 - 12 Credit(s).,SPAN,495,Individual Study Abroad: Topics in Spanish Peninsular Literature,1-6,Two years university level Spanish ,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Advanced Cultural Studies and Linguistics ,Choose8 - 12 Credit(s).,SPAN,497,Individual Study Abroad: Topics in Spanish Peninsular Culture,1-6,,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Advanced Cultural Studies and Linguistics ,Choose8 - 12 Credit(s).,SPAN,498,Internship: Spanish for the Professions,1-4,,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Advanced Cultural Studies and Linguistics ,Choose8 - 12 Credit(s).,SPAN,499,Individual Study,1-4,"completion of eight 300-level credits, or equivalent ",,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural Studies and Linguistics ,Choose24 - 28 Credit(s).,SPAN,301,Topics in Language,1-4,Two years of university level Spanish or equivalent ,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural Studies and Linguistics ,Choose24 - 28 Credit(s).,SPAN,310,Conversation,1-4,,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural Studies and Linguistics ,Choose24 - 28 Credit(s).,SPAN,311W,Composition Workshop for Heritage/Bilingual Speakers,4,,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural Studies and Linguistics ,Choose24 - 28 Credit(s).,SPAN,350,Topics in Hispanic Cultures,4,Two years of university-level Spanish or proof of equivalent proficiency.,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural Studies and Linguistics ,Choose24 - 28 Credit(s).,SPAN,355,Spanish Cultures,1-4,Two years university level Spanish or equivalent ,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural Studies and Linguistics ,Choose24 - 28 Credit(s).,SPAN,356,Latin American Cultures,1-4,Two years university level Spanish or equivalent ,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural Studies and Linguistics ,Choose24 - 28 Credit(s).,SPAN,365,Selected Readings,1-4,Two years university level Spanish or equivalent ,,,
Spanish,BA,Spanish - BA,281,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural Studies and Linguistics ,Choose24 - 28 Credit(s).,SPAN,393,Individual Study Abroad: Advanced Spanish I,1-6,Two years university level Spanish or equivalent ,,,
