ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Spanish Teaching,BS,Spanish Teaching - BS,531,120,,Undergraduate,2024-2025,Major Common Core,,,Core coursework ,Choose  12 Credit(s).,SPAN,210W,SPAN 210W,Composition and Conversation Workshop,4,,,
Spanish Teaching,BS,Spanish Teaching - BS,531,120,,Undergraduate,2024-2025,Major Common Core,,,Core coursework ,Choose  12 Credit(s).,WLC,460,WLC 460,Methods of Teaching Modern Languages,3, Students must demonstrate sufficient language competence in the target language so as to be able to teach courses exclusively in the target language. See content faculty for evaluation. ,,
Spanish Teaching,BS,Spanish Teaching - BS,531,120,,Undergraduate,2024-2025,Major Common Core,,,Core coursework ,Choose  12 Credit(s).,WLC,461,WLC 461,Applied Modern Language Teaching Methods,1,,,
Spanish Teaching,BS,Spanish Teaching - BS,531,120,,Undergraduate,2024-2025,Major Common Core,,,Core coursework ,Choose  12 Credit(s).,WLC,462,WLC 462,Foreign Languages in the Elementary School (FLES) Methods,3, Students must demonstrate sufficient language competence in the target language so as to be able to teach courses exclusively in the target language. See content faculty for evaluation. ,,
Spanish Teaching,BS,Spanish Teaching - BS,531,120,,Undergraduate,2024-2025,Major Common Core,,,Core coursework ,Choose  12 Credit(s).,WLC,463,WLC 463,Applied FLES Methods,1,,,
Spanish Teaching,BS,Spanish Teaching - BS,531,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Conversation ,Choose3 - 6 Credit(s).,SPAN,310,SPAN 310,Conversation,1-4,,,
Spanish Teaching,BS,Spanish Teaching - BS,531,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Conversation ,Choose3 - 6 Credit(s).,SPAN,393,SPAN 393,Individual Study Abroad: Advanced Spanish I,1-6, Two years university level Spanish or equivalent ,,
Spanish Teaching,BS,Spanish Teaching - BS,531,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Language/Linguistics ,Choose3 - 6 Credit(s).,SPAN,301,SPAN 301,Topics in Language,1-4, Two years of university level Spanish or equivalent ,,
Spanish Teaching,BS,Spanish Teaching - BS,531,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Language/Linguistics ,Choose3 - 6 Credit(s).,SPAN,394,SPAN 394,Supervised Study Abroad: Advanced Spanish II,1-6, Two years university level Spanish or equivalent ,,
Spanish Teaching,BS,Spanish Teaching - BS,531,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Language/Linguistics ,Choose3 - 6 Credit(s).,SPAN,401,SPAN 401,Topics in Linguistics,1-4, Completion of 4 credits of 300 level or equivalent ,,
