ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Spanish for Professionals,GC,Spanish for Professionals - GC,201377900,18,Graduate,2024-2025,Restricted Electives,,,Multicultural Literacy ,Choose  3 Credit(s).,SPAN,601,Topic Spanish Language/Linguistics,1-4,,,,
Spanish for Professionals,GC,Spanish for Professionals - GC,201377900,18,Graduate,2024-2025,Restricted Electives,,,Multicultural Literacy ,Choose  3 Credit(s).,SPAN,602,Topic Peninsular Culture,1-4,,,,
Spanish for Professionals,GC,Spanish for Professionals - GC,201377900,18,Graduate,2024-2025,Restricted Electives,,,Multicultural Literacy ,Choose  3 Credit(s).,SPAN,603,Topics in Spanish American Culture,1-4,,,,
Spanish for Professionals,GC,Spanish for Professionals - GC,201377900,18,Graduate,2024-2025,Restricted Electives,,,Multicultural Literacy ,Choose  3 Credit(s).,SPAN,604,Topic: Peninsular Spanish Literature,1-4,,,,
Spanish for Professionals,GC,Spanish for Professionals - GC,201377900,18,Graduate,2024-2025,Restricted Electives,,,Multicultural Literacy ,Choose  3 Credit(s).,SPAN,605,Topics in Spanish American Literature,1-4,,,,
Spanish for Professionals,GC,Spanish for Professionals - GC,201377900,18,Graduate,2024-2025,Restricted Electives,,,Multicultural Literacy ,Choose  3 Credit(s).,SPAN,641,Topics in Cultural Readings and Analysis,3,,,,
Spanish for Professionals,GC,Spanish for Professionals - GC,201377900,18,Graduate,2024-2025,Restricted Electives,,,Multicultural Literacy ,Choose  3 Credit(s).,SPAN,642,Pragmatics,3,,,,
Spanish for Professionals,GC,Spanish for Professionals - GC,201377900,18,Graduate,2024-2025,Restricted Electives,,,Multicultural Literacy ,Choose  3 Credit(s).,SPAN,643,Cultural Practices of Spain and the Americas,3,,,,
Spanish for Professionals,GC,Spanish for Professionals - GC,201377900,18,Graduate,2024-2025,Restricted Electives,,,Oral Proficiency ,Choose  3 Credit(s).,SPAN,652,Oral Reasoning Workshop,3,,,,
Spanish for Professionals,GC,Spanish for Professionals - GC,201377900,18,Graduate,2024-2025,Restricted Electives,,,Oral Proficiency ,Choose  3 Credit(s).,SPAN,653,Interpretation Workshop,3,,,,
Spanish for Professionals,GC,Spanish for Professionals - GC,201377900,18,Graduate,2024-2025,Restricted Electives,,,Oral Proficiency ,Choose  3 Credit(s).,SPAN,654,Digital Communications Workshop for the Professions,3,,,,
Spanish for Professionals,GC,Spanish for Professionals - GC,201377900,18,Graduate,2024-2025,Restricted Electives,,,Writing Proficiency ,Choose  3 Credit(s).,SPAN,631,Writing Workshop for the Professions,3,,,,
Spanish for Professionals,GC,Spanish for Professionals - GC,201377900,18,Graduate,2024-2025,Restricted Electives,,,Writing Proficiency ,Choose  3 Credit(s).,SPAN,632,Translation Workshop I,3,,,,
Spanish for Professionals,GC,Spanish for Professionals - GC,201377900,18,Graduate,2024-2025,Restricted Electives,,,Writing Proficiency ,Choose  3 Credit(s).,SPAN,634,Editing and Document Preparation,3,,,,
